epoch,train_efron_loss,validation_efron_loss,learning_rate
0,7.45819616317749,6.07554292678833,0.0001
1,7.4000115394592285,6.009937286376953,0.0001
2,7.342950344085693,5.942087650299072,0.0001
3,7.275685787200928,5.871963024139404,0.0001
4,7.216551780700684,5.8006486892700195,0.0001
5,7.144919395446777,5.729421138763428,0.0001
6,7.086423873901367,5.659671306610107,0.0001
7,7.020761966705322,5.592282772064209,0.0001
8,6.957117557525635,5.52776575088501,0.0001
9,6.8958258628845215,5.46640682220459,0.0001
10,6.844157695770264,5.408234596252441,0.0001
11,6.78506326675415,5.353176116943359,0.0001
12,6.743161201477051,5.301418781280518,0.0001
13,6.683372497558594,5.252861022949219,0.0001
14,6.6470723152160645,5.207513332366943,0.0001
15,6.589025020599365,5.165327548980713,0.0001
16,6.563343048095703,5.126412868499756,0.0001
17,6.517275810241699,5.090662956237793,0.0001
18,6.473635673522949,5.057900905609131,0.0001
19,6.449828624725342,5.027867317199707,0.0001
20,6.4255571365356445,5.000512599945068,0.0001
21,6.388923645019531,4.975561618804932,0.0001
22,6.362503528594971,4.952853202819824,0.0001
23,6.343267917633057,4.932488441467285,0.0001
24,6.315804958343506,4.914637088775635,0.0001
25,6.2921013832092285,4.8993682861328125,0.0001
26,6.250064849853516,4.886425971984863,0.0001
27,6.2391510009765625,4.875640392303467,0.0001
28,6.244369029998779,4.866652965545654,0.0001
29,6.242570877075195,4.859195232391357,0.0001
30,6.225377082824707,4.853205680847168,0.0001
31,6.213809967041016,4.848538398742676,0.0001
32,6.206095218658447,4.845092296600342,0.0001
33,6.189475059509277,4.842702865600586,0.0001
34,6.184241771697998,4.840979099273682,0.0001
35,6.17921257019043,4.839707851409912,0.0001
36,6.183012008666992,4.838956832885742,0.0001
37,6.163333892822266,4.838833332061768,0.0001
38,6.161712169647217,4.839859485626221,0.0001
39,6.1448774337768555,4.841994762420654,0.0001
40,6.163698673248291,4.844659805297852,0.0001
41,6.125903606414795,4.846949100494385,0.0001
42,6.126125335693359,4.848053455352783,0.0001
43,6.1186747550964355,4.847428798675537,5e-05
44,6.148405075073242,4.846756935119629,5e-05
45,6.13169002532959,4.845961093902588,5e-05
46,6.119359493255615,4.844723701477051,5e-05
47,6.145286560058594,4.84358549118042,5e-05
48,6.1332855224609375,4.8426432609558105,5e-05
49,6.1200737953186035,4.841680526733398,5e-05
50,6.143968105316162,4.84045934677124,2.5e-05
51,6.094999313354492,4.839824676513672,2.5e-05
52,6.106365203857422,4.839260578155518,2.5e-05
53,6.106446266174316,4.838753700256348,2.5e-05
54,6.127874851226807,4.8383469581604,2.5e-05
55,6.11961555480957,4.83802604675293,2.5e-05
56,6.110897541046143,4.83786678314209,2.5e-05
57,6.117936134338379,4.837800025939941,2.5e-05
