epoch,train_efron_loss,validation_efron_loss,learning_rate
0,7.675148963928223,5.830483913421631,0.0001
1,7.201457500457764,5.407176494598389,0.0001
2,6.790948867797852,5.148306369781494,0.0001
3,6.526391506195068,5.04241943359375,0.0001
4,6.394112586975098,5.025289535522461,0.0001
5,6.329911708831787,5.026651859283447,0.0001
6,6.3021039962768555,5.019144058227539,0.0001
7,6.243879318237305,5.012729644775391,0.0001
8,6.256187438964844,5.025671005249023,0.0001
9,6.179769039154053,5.063779830932617,0.0001
10,6.223954200744629,5.088744163513184,0.0001
11,6.222995281219482,5.0749592781066895,0.0001
12,6.237849712371826,5.045193195343018,0.0001
13,6.188726425170898,5.021271705627441,0.0001
14,6.19157600402832,5.0082879066467285,0.0001
15,6.17606782913208,4.999589443206787,0.0001
16,6.156267166137695,4.986817836761475,0.0001
17,6.1698503494262695,4.968277931213379,0.0001
18,6.184734344482422,4.9483466148376465,0.0001
19,6.171367645263672,4.93441915512085,0.0001
20,6.161792755126953,4.931339263916016,0.0001
21,6.145020961761475,4.9346022605896,0.0001
22,6.117498397827148,4.936803340911865,0.0001
23,6.15053129196167,4.934460163116455,0.0001
24,6.148848056793213,4.930075645446777,0.0001
25,6.14923620223999,4.929771423339844,0.0001
26,6.113010883331299,4.934108734130859,0.0001
27,6.146548748016357,4.939553260803223,0.0001
28,6.140436172485352,4.942751407623291,0.0001
29,6.120748043060303,4.9410786628723145,0.0001
30,6.1214280128479,4.936870574951172,0.0001
31,6.113912582397461,4.931827068328857,5e-05
32,6.119377136230469,4.928977966308594,5e-05
33,6.106945514678955,4.9261794090271,5e-05
34,6.088435649871826,4.924150466918945,5e-05
35,6.100698471069336,4.921977996826172,5e-05
36,6.113307476043701,4.920316696166992,5e-05
37,6.10685920715332,4.918546676635742,5e-05
38,6.117045879364014,4.917235851287842,5e-05
39,6.080997467041016,4.916718482971191,5e-05
40,6.119452476501465,4.916618824005127,5e-05
41,6.099477767944336,4.9176812171936035,5e-05
42,6.10775899887085,4.918760299682617,5e-05
43,6.104985237121582,4.919276714324951,5e-05
44,6.10420560836792,4.9193925857543945,5e-05
45,6.101172924041748,4.919944763183594,5e-05
46,6.1059770584106445,4.919971466064453,2.5e-05
47,6.100473403930664,4.920014381408691,2.5e-05
48,6.1111602783203125,4.9190778732299805,2.5e-05
49,6.104213714599609,4.91813325881958,2.5e-05
50,6.085520267486572,4.917562484741211,2.5e-05
51,6.090653419494629,4.917575836181641,2.5e-05
52,6.058184623718262,4.918345928192139,2.5e-05
53,6.079296112060547,4.918820858001709,1.25e-05
54,6.084848403930664,4.919096946716309,1.25e-05
55,6.062734127044678,4.919468402862549,1.25e-05
56,6.084278106689453,4.9198808670043945,1.25e-05
57,6.082921028137207,4.920591354370117,1.25e-05
58,6.093535900115967,4.921264171600342,1.25e-05
59,6.091752052307129,4.922014236450195,1.25e-05
60,6.083403587341309,4.922406196594238,6.25e-06
61,6.098438739776611,4.922621726989746,6.25e-06
62,6.084998607635498,4.922865867614746,6.25e-06
63,6.086131572723389,4.922816753387451,6.25e-06
64,6.0983171463012695,4.922684192657471,6.25e-06
65,6.094107151031494,4.9224534034729,6.25e-06
