epoch,train_masked_bce,validation_masked_bce,learning_rate
0,0.7909213304519653,0.6905346512794495,0.0001
1,0.7094693779945374,0.6257709860801697,0.0001
2,0.6399783492088318,0.5699657201766968,0.0001
3,0.5803216099739075,0.5224071741104126,0.0001
4,0.5272925496101379,0.48215973377227783,0.0001
5,0.4835396111011505,0.4481748640537262,0.0001
6,0.4454801380634308,0.41938281059265137,0.0001
7,0.4134010076522827,0.3948608934879303,0.0001
8,0.38546422123908997,0.3738734722137451,0.0001
9,0.363844096660614,0.35577771067619324,0.0001
10,0.3427138030529022,0.340115487575531,0.0001
11,0.3241605758666992,0.3265364468097687,0.0001
12,0.30890196561813354,0.3147794008255005,0.0001
13,0.2976592481136322,0.304650217294693,0.0001
14,0.2837303578853607,0.2959979474544525,0.0001
15,0.2732972204685211,0.28868982195854187,0.0001
16,0.2648485600948334,0.28255751729011536,0.0001
17,0.2561753988265991,0.27745190262794495,0.0001
18,0.2494518756866455,0.27319657802581787,0.0001
19,0.24353155493736267,0.26964887976646423,0.0001
20,0.238570436835289,0.26669856905937195,0.0001
21,0.23409703373908997,0.2642477750778198,0.0001
22,0.22922946512699127,0.2622571587562561,0.0001
23,0.22552771866321564,0.2606586813926697,0.0001
24,0.22135838866233826,0.25937196612358093,0.0001
25,0.22031636536121368,0.25829246640205383,0.0001
26,0.21649959683418274,0.25731992721557617,0.0001
27,0.21272209286689758,0.25639262795448303,0.0001
28,0.21129153668880463,0.25554347038269043,0.0001
29,0.21044719219207764,0.25480538606643677,0.0001
30,0.21038848161697388,0.2541643977165222,0.0001
31,0.2088630497455597,0.25362998247146606,0.0001
32,0.2067234218120575,0.25313451886177063,0.0001
33,0.20558851957321167,0.25269806385040283,0.0001
34,0.204661563038826,0.2522953748703003,0.0001
35,0.2035677433013916,0.2518961429595947,0.0001
36,0.20205114781856537,0.2514600455760956,0.0001
37,0.20335181057453156,0.25096452236175537,0.0001
38,0.20026718080043793,0.250421404838562,0.0001
39,0.20305627584457397,0.24981126189231873,0.0001
40,0.19992470741271973,0.24919933080673218,0.0001
41,0.201445534825325,0.2485131025314331,0.0001
42,0.19867317378520966,0.2478252500295639,0.0001
43,0.20043949782848358,0.2471475750207901,0.0001
44,0.19756130874156952,0.24647332727909088,0.0001
45,0.19832651317119598,0.24584710597991943,0.0001
46,0.19742156565189362,0.24528630077838898,0.0001
47,0.1962704062461853,0.2447650134563446,0.0001
48,0.19538165628910065,0.24428486824035645,0.0001
49,0.19657979905605316,0.2437954843044281,0.0001
50,0.19639535248279572,0.24333418905735016,0.0001
51,0.19703206419944763,0.2428932785987854,0.0001
52,0.19641324877738953,0.24253807961940765,0.0001
53,0.1954389065504074,0.24226507544517517,0.0001
54,0.193625807762146,0.24202382564544678,0.0001
55,0.19303594529628754,0.24181972444057465,0.0001
56,0.19340883195400238,0.24163822829723358,0.0001
57,0.1935894638299942,0.24149006605148315,0.0001
58,0.19296301901340485,0.24129340052604675,0.0001
59,0.19258636236190796,0.24109838902950287,0.0001
60,0.19189012050628662,0.24089036881923676,0.0001
61,0.19137035310268402,0.24069370329380035,0.0001
62,0.19226837158203125,0.24048000574111938,0.0001
63,0.1906958520412445,0.24026049673557281,0.0001
64,0.19362129271030426,0.24005360901355743,0.0001
65,0.19253301620483398,0.23984406888484955,0.0001
66,0.1885114461183548,0.23967702686786652,0.0001
67,0.1897634118795395,0.23944400250911713,0.0001
68,0.18959343433380127,0.23926647007465363,0.0001
69,0.1911998689174652,0.238988995552063,0.0001
70,0.1901131123304367,0.2386813908815384,0.0001
71,0.18785491585731506,0.2383802831172943,0.0001
72,0.18969374895095825,0.23819024860858917,0.0001
73,0.18948820233345032,0.23804505169391632,0.0001
74,0.18844640254974365,0.23782187700271606,0.0001
75,0.18821290135383606,0.23765204846858978,0.0001
76,0.18724234402179718,0.2375420182943344,0.0001
77,0.18719570338726044,0.23748379945755005,0.0001
78,0.18778452277183533,0.23740823566913605,0.0001
79,0.18630927801132202,0.2373419553041458,0.0001
80,0.1854151040315628,0.23724374175071716,0.0001
81,0.18565738201141357,0.23722799122333527,0.0001
82,0.1853249967098236,0.2372729480266571,0.0001
83,0.18652448058128357,0.23734800517559052,0.0001
84,0.18569418787956238,0.2374577522277832,0.0001
85,0.185160294175148,0.23757268488407135,0.0001
86,0.1847541630268097,0.23772698640823364,0.0001
87,0.18393638730049133,0.23783428966999054,5e-05
88,0.1849544793367386,0.23787668347358704,5e-05
89,0.18329723179340363,0.23790042102336884,5e-05
90,0.18366360664367676,0.23798786103725433,5e-05
91,0.18515165150165558,0.23808316886425018,5e-05
92,0.1835414171218872,0.23814480006694794,5e-05
93,0.1840386986732483,0.2381802499294281,5e-05
94,0.18414276838302612,0.23824504017829895,2.5e-05
95,0.18265360593795776,0.23827581107616425,2.5e-05
96,0.18394429981708527,0.23828309774398804,2.5e-05
97,0.18370512127876282,0.23828892409801483,2.5e-05
98,0.1831302046775818,0.23828601837158203,2.5e-05
99,0.18291054666042328,0.23828081786632538,2.5e-05
