risk_quantile_bin,count,risk_min,risk_max,event_fraction_observed,duration_median_hours
1,259,-0.5654816627502441,-0.28677210211753845,0.007722007722007722,49.0
2,259,-0.28655099868774414,-0.2567927837371826,0.015444015444015444,97.4
3,259,-0.2567256689071655,-0.21906375885009766,0.015444015444015444,164.2
4,259,-0.21864041686058044,-0.08141958713531494,0.05405405405405406,184.2
5,259,-0.07931934297084808,3.5780630111694336,0.32432432432432434,55.2
