epoch,train_efron_loss,validation_efron_loss,learning_rate
0,7.621125221252441,6.079168796539307,0.0001
1,7.55334997177124,6.0138115882873535,0.0001
2,7.494330883026123,5.946115016937256,0.0001
3,7.424341678619385,5.876096248626709,0.0001
4,7.353186130523682,5.804652214050293,0.0001
5,7.284192085266113,5.733068466186523,0.0001
6,7.222717761993408,5.662617206573486,0.0001
7,7.153190612792969,5.5941481590271,0.0001
8,7.089351654052734,5.528294086456299,0.0001
9,7.0411200523376465,5.4653167724609375,0.0001
10,6.981866836547852,5.405362606048584,0.0001
11,6.926972389221191,5.348553657531738,0.0001
12,6.872223377227783,5.295045852661133,0.0001
13,6.833858013153076,5.245182514190674,0.0001
14,6.780977725982666,5.19920539855957,0.0001
15,6.748572826385498,5.157419681549072,0.0001
16,6.714961528778076,5.119779586791992,0.0001
17,6.668990135192871,5.086346626281738,0.0001
18,6.646149158477783,5.05713415145874,0.0001
19,6.610476016998291,5.0320963859558105,0.0001
20,6.589397430419922,5.010845184326172,0.0001
21,6.545648097991943,4.992732524871826,0.0001
22,6.551080226898193,4.97767448425293,0.0001
23,6.502379417419434,4.964637756347656,0.0001
24,6.509427070617676,4.953014850616455,0.0001
25,6.4570631980896,4.9424147605896,0.0001
26,6.483757495880127,4.933619976043701,0.0001
27,6.443540573120117,4.924374580383301,0.0001
28,6.44871711730957,4.915228843688965,0.0001
29,6.417266845703125,4.906803607940674,0.0001
30,6.41417932510376,4.899280071258545,0.0001
31,6.420601844787598,4.892347812652588,0.0001
32,6.387511253356934,4.886086463928223,0.0001
33,6.407701015472412,4.880734443664551,0.0001
34,6.405205726623535,4.875881195068359,0.0001
35,6.368720531463623,4.870735168457031,0.0001
36,6.385965347290039,4.865725994110107,0.0001
37,6.369749546051025,4.860815048217773,0.0001
38,6.3755412101745605,4.857015609741211,0.0001
39,6.364256858825684,4.854732036590576,0.0001
40,6.364192962646484,4.852969646453857,0.0001
41,6.37748384475708,4.851766109466553,0.0001
42,6.366444110870361,4.849130153656006,0.0001
43,6.3755340576171875,4.846808433532715,0.0001
44,6.36561918258667,4.844651699066162,0.0001
45,6.3561906814575195,4.839090824127197,0.0001
46,6.352969169616699,4.832173824310303,0.0001
47,6.335598945617676,4.825348377227783,0.0001
48,6.342416763305664,4.8187689781188965,0.0001
49,6.327474594116211,4.814128398895264,0.0001
50,6.335627555847168,4.811405658721924,0.0001
51,6.316986083984375,4.809125900268555,0.0001
52,6.315371036529541,4.810348987579346,0.0001
53,6.305803298950195,4.812445640563965,0.0001
54,6.3267011642456055,4.813177585601807,0.0001
55,6.2995829582214355,4.808867454528809,0.0001
56,6.322368621826172,4.8042120933532715,0.0001
57,6.3107380867004395,4.800078392028809,0.0001
58,6.3188018798828125,4.796226501464844,0.0001
59,6.303248405456543,4.793756484985352,0.0001
60,6.2891716957092285,4.791800022125244,0.0001
61,6.3149003982543945,4.793892860412598,0.0001
62,6.291007041931152,4.804917812347412,0.0001
63,6.300010681152344,4.809049129486084,0.0001
64,6.289990425109863,4.812580108642578,0.0001
65,6.289624214172363,4.813251495361328,0.0001
66,6.267945289611816,4.809513568878174,0.0001
67,6.275193691253662,4.812386512756348,5e-05
68,6.296680450439453,4.80972146987915,5e-05
69,6.26292610168457,4.801671981811523,5e-05
70,6.264161109924316,4.793003559112549,5e-05
71,6.283421516418457,4.7887654304504395,5e-05
72,6.257145881652832,4.787565231323242,5e-05
73,6.26751184463501,4.784040451049805,5e-05
74,6.271640777587891,4.7828755378723145,5e-05
75,6.255967140197754,4.7835693359375,5e-05
76,6.266854286193848,4.784632205963135,5e-05
77,6.253364086151123,4.7887773513793945,5e-05
78,6.275743007659912,4.791526794433594,5e-05
79,6.278276443481445,4.790555953979492,5e-05
80,6.25442361831665,4.791612148284912,5e-05
81,6.275233745574951,4.7902021408081055,2.5e-05
82,6.241329193115234,4.7911810874938965,2.5e-05
83,6.2577223777771,4.792150974273682,2.5e-05
84,6.245355129241943,4.792290687561035,2.5e-05
85,6.25593900680542,4.792059898376465,2.5e-05
86,6.258460998535156,4.791221618652344,2.5e-05
87,6.25649356842041,4.790572166442871,2.5e-05
88,6.256561279296875,4.790988922119141,1.25e-05
89,6.2404561042785645,4.7920331954956055,1.25e-05
90,6.230620861053467,4.793179988861084,1.25e-05
91,6.230381488800049,4.794321060180664,1.25e-05
92,6.2437334060668945,4.7957634925842285,1.25e-05
93,6.2526726722717285,4.7972235679626465,1.25e-05
94,6.268596172332764,4.798483371734619,1.25e-05
95,6.242857456207275,4.798966884613037,6.25e-06
96,6.256829261779785,4.799200057983398,6.25e-06
97,6.240813732147217,4.799554824829102,6.25e-06
98,6.239190578460693,4.799846172332764,6.25e-06
99,6.247185230255127,4.800185680389404,6.25e-06
