horizon_hours,threshold_source,target_validation_alert_fraction,achieved_validation_alert_fraction,threshold,tp_ipcw,tn_ipcw,fp_ipcw,fn_ipcw,tss,hss2,far,precision,recall,f1,alert_fraction,known_count,auc,average_precision
12.0,primary_tss,,0.21875,0.019139528274536133,55.79409496587727,1081.5154767498352,121.86089878871384,3.1272963477965794,0.8456584388785284,0.43184928460527544,0.6859413079997624,0.3140586920002376,0.9469242616633388,0.471679326318032,0.14273430782459157,1163,0.9655430576062763,0.6462062444941851
12.0,validation_alert_load,0.01,0.010416666666666666,0.7007913547754285,3.0254418797503346,1201.200288060179,2.17608747836989,55.89594943392352,0.04953876998860496,0.08745324725947214,0.4183553198585241,0.581644680141476,0.051347088252619424,0.0943638202394341,0.004299226139294927,1163,0.9655430576062763,0.6462062444941851
12.0,validation_alert_load,0.025,0.025297619047619048,0.5624748006463052,21.781879593954528,1192.4959381466995,10.88043739184945,37.13951171971932,0.36063534787500773,0.4576130978230516,0.3331189699915782,0.6668810300084218,0.3696769391950801,0.47567149219876526,0.026655202063628546,1163,0.9655430576062763,0.6462062444941851
12.0,validation_alert_load,0.05,0.050595238095238096,0.4862281918525694,30.041668720370062,1189.2318069291446,14.144568609404285,28.879722593303793,0.4981060695219912,0.5653347530771783,0.32011253874909923,0.6798874612509008,0.5098601382380852,0.5827244621104766,0.03611349957007739,1163,0.9655430576062763,0.6462062444941851
12.0,validation_alert_load,0.1,0.10119047619047619,0.32194834947586054,42.37385361620743,1176.1752820589254,27.20109347962362,16.547537697466428,0.6965551024931771,0.6414079412649709,0.390961037198597,0.609038962801403,0.7191590807933579,0.6595340247154159,0.05674978503869303,1163,0.9655430576062763,0.6462062444941851
12.0,validation_alert_load,0.2,0.20089285714285715,0.020261502265930178,55.79409496587727,1104.3643952727189,99.01198026582998,3.1272963477965794,0.8646457806506804,0.4874467026303438,0.6395871745836396,0.3604128254163605,0.9469242616633388,0.522105051519248,0.12467755803955288,1163,0.9655430576062763,0.6462062444941851
24.0,primary_tss,,0.21577380952380953,0.038413166999816895,61.54375529892246,1084.0910514652105,97.06532607509438,7.572840688027735,0.8082556124343032,0.5021721870075176,0.611978363623481,0.3880216363765189,0.8904338302560856,0.5405078251353246,0.13197026022304834,1076,0.9697335527864511,0.6418926593185217
24.0,validation_alert_load,0.01,0.010416666666666666,0.7734602320194239,7.309117887441598,1178.8174540204227,2.3389235198817917,61.80747809950861,0.10377034977658584,0.17441295605456159,0.24242469752528437,0.7575753024747156,0.10575054779638773,0.1855938941445058,0.008364312267657992,1076,0.9697335527864511,0.6418926593185217
24.0,validation_alert_load,0.025,0.025297619047619048,0.7002783358097077,17.70354611198866,1171.8006834607777,9.355694079527167,51.41304987496154,0.24821951487878002,0.34786360500415875,0.34574858766583394,0.6542514123341662,0.25614030695798795,0.3681495647022515,0.023234200743494422,1076,0.9697335527864511,0.6418926593185217
24.0,validation_alert_load,0.05,0.050595238095238096,0.6239272475242613,34.32940068322209,1165.9533746610732,15.203002879231647,34.78719530372811,0.4838169567440578,0.5582834710828586,0.30693044927776814,0.6930695507222319,0.4966882438727708,0.5786715575115787,0.04275092936802974,1076,0.9697335527864511,0.6418926593185217
24.0,validation_alert_load,0.1,0.10119047619047619,0.42948986291885366,52.23846180025404,1155.428218821605,25.7281587186997,16.87813418669616,0.734019826413846,0.6922912195309984,0.32998940504860236,0.6700105949513976,0.7558020046316677,0.7103252572418034,0.06691449814126393,1076,0.9697335527864511,0.6418926593185217
24.0,validation_alert_load,0.2,0.20089285714285715,0.039949929714202886,61.54375529892246,1098.124592584501,83.03178495580364,7.572840688027735,0.8201368005531151,0.5417239193625413,0.5743141945692254,0.42568580543077467,0.8904338302560856,0.5760039314625899,0.120817843866171,1076,0.9697335527864511,0.6418926593185217
48.0,primary_tss,,0.19196428571428573,0.047731637954711914,72.45897619207047,1072.4079846816812,68.93104475086209,11.337146249922906,0.8043107086445329,0.6100546312479591,0.4875241144400413,0.5124758855599587,0.8647055983077154,0.6435473790961589,0.12779552715654952,939,0.955122760440646,0.7045052813818504
48.0,validation_alert_load,0.01,0.010416666666666666,0.8706871604919432,5.6102490477690266,1140.0134324181038,1.3255970144396556,78.18587339422433,0.06578973707959301,0.11440572376668547,0.1911226117982103,0.8088773882017897,0.06695117726542346,0.1236664240897452,0.006389776357827476,939,0.955122760440646,0.7045052813818504
48.0,validation_alert_load,0.025,0.025297619047619048,0.8177527502179146,19.173538689925778,1133.3854473459055,7.953582086637934,64.62258375206758,0.2218431240499077,0.3230617755543123,0.2931966924226391,0.7068033075773609,0.2288117651648903,0.34570822369748583,0.025559105431309903,939,0.955122760440646,0.7045052813818504
48.0,validation_alert_load,0.05,0.050595238095238096,0.7556278020143509,39.588878463174574,1129.4086563025865,11.9303731299569,44.207243978818774,0.4619898830496001,0.5623405421898315,0.23157116536117253,0.7684288346388275,0.4724428447220741,0.5851349670422253,0.04898828541001065,939,0.955122760440646,0.7045052813818504
48.0,validation_alert_load,0.1,0.10119047619047619,0.5861330926418304,60.615606202230325,1124.1062682448278,17.23276118771552,23.18051623976304,0.7082713385818429,0.7323539462331758,0.22136316746882914,0.7786368325311708,0.7233700609976386,0.7499866684630203,0.07454739084132056,939,0.955122760440646,0.7045052813818504
48.0,validation_alert_load,0.2,0.20089285714285715,0.04630566835403444,72.45897619207047,1063.1288055806035,78.21022385193967,11.337146249922906,0.7961806273437202,0.5812697335823926,0.519085677956043,0.4809143220439569,0.8647055983077154,0.6180784042927792,0.13525026624068157,939,0.955122760440646,0.7045052813818504
72.0,primary_tss,,0.17559523809523808,0.12524908781051636,75.24742237087519,1111.5684267553638,43.679518124533274,15.774326199493538,0.7888875266274495,0.6912722661131487,0.36728026419059906,0.6327197358094009,0.8266971746065893,0.7168172633580968,0.11647058823529412,850,0.9629803470770324,0.7865325738149155
