epoch,train_efron_loss,validation_efron_loss,learning_rate
0,7.44151496887207,6.074091911315918,0.0001
1,7.390819072723389,6.0191850662231445,0.0001
2,7.332676410675049,5.9633870124816895,0.0001
3,7.285224914550781,5.906476020812988,0.0001
4,7.234011173248291,5.848572254180908,0.0001
5,7.180488586425781,5.790060520172119,0.0001
6,7.13065767288208,5.731348514556885,0.0001
7,7.076419830322266,5.673003673553467,0.0001
8,7.027832984924316,5.615338325500488,0.0001
9,6.969148635864258,5.558838844299316,0.0001
10,6.920097827911377,5.503932476043701,0.0001
11,6.874763488769531,5.45089864730835,0.0001
12,6.837773323059082,5.400078296661377,0.0001
13,6.771012306213379,5.351581573486328,0.0001
14,6.738040924072266,5.305614948272705,0.0001
15,6.692406177520752,5.262480735778809,0.0001
16,6.654937267303467,5.222449779510498,0.0001
17,6.602816104888916,5.1858134269714355,0.0001
18,6.57954216003418,5.152987480163574,0.0001
19,6.541590690612793,5.124151229858398,0.0001
20,6.491968154907227,5.099298477172852,0.0001
21,6.468174457550049,5.078368186950684,0.0001
22,6.446150302886963,5.061339378356934,0.0001
23,6.432081699371338,5.0476179122924805,0.0001
24,6.4046244621276855,5.037113189697266,0.0001
25,6.379274845123291,5.0286431312561035,0.0001
26,6.353816986083984,5.022315502166748,0.0001
27,6.3316330909729,5.017763137817383,0.0001
28,6.3433027267456055,5.013873100280762,0.0001
29,6.299132347106934,5.009443283081055,0.0001
30,6.294897079467773,5.006306171417236,0.0001
31,6.295077800750732,5.0036773681640625,0.0001
32,6.2782368659973145,5.002346038818359,0.0001
33,6.278102874755859,5.000309944152832,0.0001
34,6.256573677062988,4.996784210205078,0.0001
35,6.241060256958008,4.993564128875732,0.0001
36,6.281116008758545,4.990302562713623,0.0001
37,6.232308387756348,4.987771034240723,0.0001
38,6.243519306182861,4.984715938568115,0.0001
39,6.262055397033691,4.981335639953613,0.0001
40,6.221610069274902,4.977500915527344,0.0001
41,6.241203784942627,4.974149703979492,0.0001
42,6.219690322875977,4.969079494476318,0.0001
43,6.214897632598877,4.9642014503479,0.0001
44,6.2306132316589355,4.959869861602783,0.0001
45,6.209507942199707,4.956196308135986,0.0001
46,6.202725887298584,4.953780651092529,0.0001
47,6.2057366371154785,4.9513139724731445,0.0001
48,6.199851036071777,4.949127674102783,0.0001
49,6.19462776184082,4.947443008422852,0.0001
50,6.222439289093018,4.9459919929504395,0.0001
51,6.19079065322876,4.9452433586120605,0.0001
52,6.1911516189575195,4.943586826324463,0.0001
53,6.167075157165527,4.942352771759033,0.0001
54,6.178889274597168,4.940635681152344,0.0001
55,6.175542831420898,4.938751220703125,0.0001
