risk_quantile_bin,count,risk_min,risk_max,event_fraction_observed,duration_median_hours
1,259,-2.9501144886016846,-2.739147901535034,0.0,75.4
2,259,-2.73909330368042,-2.6024677753448486,0.003861003861003861,104.8
3,259,-2.6024017333984375,-2.2536144256591797,0.007722007722007722,136.95
4,259,-2.253070592880249,-0.6402946710586548,0.03474903474903475,103.8
5,259,-0.6179642081260681,2.82894229888916,0.37065637065637064,125.91666666666667
