risk_quantile_bin,count,risk_min,risk_max,event_fraction_observed,duration_median_hours
1,259,0.017248520627617836,0.019696058705449104,0.0,160.4
2,259,0.01969670131802559,0.023847293108701706,0.011583011583011582,122.6
3,259,0.02388274110853672,0.0366959385573864,0.019305019305019305,61.0
4,259,0.03673103451728821,0.06965449452400208,0.03861003861003861,42.2
5,259,0.06972453743219376,0.8546428680419922,0.3474903474903475,68.2
