epoch,train_efron_loss,validation_efron_loss,learning_rate
0,7.4974493980407715,6.12453031539917,0.0001
1,7.440526008605957,6.067459583282471,0.0001
2,7.390040874481201,6.011690616607666,0.0001
3,7.33349609375,5.955986976623535,0.0001
4,7.286962032318115,5.899914264678955,0.0001
5,7.233532428741455,5.843173027038574,0.0001
6,7.183583736419678,5.785943031311035,0.0001
7,7.128152847290039,5.728535175323486,0.0001
8,7.074967384338379,5.671395778656006,0.0001
9,7.015969276428223,5.615009307861328,0.0001
10,6.955234050750732,5.559953212738037,0.0001
11,6.9113945960998535,5.506778240203857,0.0001
12,6.87237548828125,5.456046104431152,0.0001
13,6.804776191711426,5.4079203605651855,0.0001
14,6.772099018096924,5.362856388092041,0.0001
15,6.713380336761475,5.320982933044434,0.0001
16,6.674120903015137,5.28253698348999,0.0001
17,6.631074905395508,5.247454643249512,0.0001
18,6.605331897735596,5.215807914733887,0.0001
19,6.579278945922852,5.187613010406494,0.0001
20,6.549292087554932,5.1625237464904785,0.0001
21,6.51176643371582,5.140136241912842,0.0001
22,6.492141246795654,5.120543479919434,0.0001
23,6.440573692321777,5.103074073791504,0.0001
24,6.423696517944336,5.08757209777832,0.0001
25,6.4129743576049805,5.073585510253906,0.0001
26,6.374134063720703,5.061304092407227,0.0001
27,6.349707126617432,5.050254821777344,0.0001
28,6.348498821258545,5.040749549865723,0.0001
29,6.338547229766846,5.033812522888184,0.0001
30,6.319852352142334,5.028275966644287,0.0001
31,6.330385684967041,5.02341365814209,0.0001
32,6.298059940338135,5.018609046936035,0.0001
33,6.264474391937256,5.013243198394775,0.0001
34,6.271881103515625,5.006984710693359,0.0001
35,6.277902603149414,5.001634120941162,0.0001
36,6.276242733001709,4.9969096183776855,0.0001
37,6.285405158996582,4.993375301361084,0.0001
38,6.26078462600708,4.992169380187988,0.0001
39,6.281668186187744,4.990968704223633,0.0001
40,6.251460552215576,4.98943567276001,0.0001
41,6.250708103179932,4.987045764923096,0.0001
42,6.239856719970703,4.98552942276001,0.0001
43,6.232760429382324,4.981393814086914,0.0001
44,6.255640029907227,4.977417945861816,0.0001
45,6.225288391113281,4.9725213050842285,0.0001
46,6.232395648956299,4.966678619384766,0.0001
47,6.230411052703857,4.961394309997559,0.0001
48,6.218717575073242,4.956332206726074,0.0001
49,6.219539165496826,4.952678203582764,0.0001
50,6.22893762588501,4.9490838050842285,0.0001
51,6.2107696533203125,4.946636199951172,0.0001
52,6.206077575683594,4.946710586547852,0.0001
53,6.212893486022949,4.947845935821533,0.0001
54,6.200037479400635,4.951733589172363,0.0001
55,6.2058939933776855,4.9589152336120605,0.0001
56,6.200562000274658,4.964925765991211,0.0001
57,6.176329612731934,4.967250347137451,0.0001
58,6.185749053955078,4.966172695159912,5e-05
59,6.180209159851074,4.9643235206604,5e-05
60,6.1900763511657715,4.9610795974731445,5e-05
61,6.169000148773193,4.957712650299072,5e-05
62,6.169102191925049,4.95423698425293,5e-05
63,6.182651042938232,4.950634479522705,5e-05
64,6.163157939910889,4.947507381439209,5e-05
65,6.1689887046813965,4.944244384765625,5e-05
66,6.178128719329834,4.942293643951416,5e-05
67,6.184035778045654,4.941280841827393,5e-05
68,6.197592258453369,4.941844463348389,5e-05
69,6.1544599533081055,4.94304084777832,5e-05
70,6.169391632080078,4.944920063018799,5e-05
71,6.13024377822876,4.946391582489014,5e-05
72,6.163608074188232,4.948263168334961,5e-05
73,6.1685709953308105,4.950720310211182,5e-05
74,6.17078161239624,4.951934337615967,2.5e-05
75,6.155045032501221,4.952009677886963,2.5e-05
76,6.157620429992676,4.952754020690918,2.5e-05
77,6.128195762634277,4.953693389892578,2.5e-05
78,6.1799726486206055,4.953675270080566,2.5e-05
79,6.182417392730713,4.952723026275635,2.5e-05
80,6.160857677459717,4.951715469360352,2.5e-05
81,6.181008815765381,4.951037883758545,1.25e-05
82,6.193106651306152,4.950645446777344,1.25e-05
83,6.172175407409668,4.950307846069336,1.25e-05
84,6.125969409942627,4.949987888336182,1.25e-05
85,6.180627346038818,4.949593544006348,1.25e-05
86,6.152224063873291,4.949428558349609,1.25e-05
87,6.16682767868042,4.949121475219727,1.25e-05
88,6.155035018920898,4.948596954345703,6.25e-06
89,6.1709208488464355,4.948393821716309,6.25e-06
90,6.165870189666748,4.948285102844238,6.25e-06
91,6.180352210998535,4.948114395141602,6.25e-06
92,6.1536712646484375,4.947923183441162,6.25e-06
