split_mode,primary,comparator,seed,metric,improvement_definition,bootstrap_replicates,mean_improvement,std_improvement,ci_lower_2.5,ci_upper_97.5
chronological,tim_sfsa,linear_cox,2345,harrell_c_index,primary_minus_comparator,997,-0.0014494016779792176,0.008655363774203746,-0.02164143859720051,0.015034247068763698
chronological,tim_sfsa,linear_cox,2345,uno_c_index,primary_minus_comparator,997,0.04496947026339812,0.05003791550723701,-0.022635283859133624,0.15939429021738588
chronological,tim_sfsa,linear_cox,2345,integrated_auc,primary_minus_comparator,992,-0.007351969483328021,0.00844150318775086,-0.031176850147045125,1.4732483309523657e-05
chronological,tim_sfsa,linear_cox,2345,integrated_brier_score,comparator_minus_primary,1000,-0.00031414125214673436,0.0012883219056528796,-0.003039284974241769,0.0019236736314147916
chronological,tim_sfsa,linear_cox,2345,24h_tss,primary_minus_comparator,1000,-0.007295534413002822,0.013846615491839095,-0.03558869088554,0.01993209005643439
chronological,tim_sfsa,linear_cox,2345,24h_hss2,primary_minus_comparator,1000,-0.014597733035155219,0.03155750757528765,-0.07675829742766087,0.0506845016830941
chronological,tim_sfsa,linear_cox,2345,24h_bss,primary_minus_comparator,1000,-0.039086274405004874,0.04117757356076882,-0.10582031565592036,0.04847745341667817
chronological,tim_sfsa,linear_cox,2345,48h_tss,primary_minus_comparator,1000,-0.0684497457538206,0.017575486611934203,-0.10316515426497277,-0.034902254536311246
chronological,tim_sfsa,linear_cox,2345,48h_hss2,primary_minus_comparator,1000,-0.12090064957985333,0.046127491787846524,-0.2091441216617091,-0.028013203550435333
chronological,tim_sfsa,linear_cox,2345,48h_bss,primary_minus_comparator,1000,-0.018594852752115667,0.03305787716612904,-0.08222808648886852,0.05060679028621982
chronological,tim_sfsa,linear_cox,2346,harrell_c_index,primary_minus_comparator,998,6.794023522109747e-05,0.0070239787451379845,-0.013543097487126782,0.015594762429154566
chronological,tim_sfsa,linear_cox,2346,uno_c_index,primary_minus_comparator,998,0.04748045501488093,0.0532221988342726,-0.017602949469695196,0.17496428927006824
chronological,tim_sfsa,linear_cox,2346,integrated_auc,primary_minus_comparator,986,-0.005472633855051624,0.005669014663999083,-0.02080399377338596,0.0
chronological,tim_sfsa,linear_cox,2346,integrated_brier_score,comparator_minus_primary,1000,-0.0008158451581762935,0.0015069317081706638,-0.00405819467024539,0.001754640097657189
chronological,tim_sfsa,linear_cox,2346,24h_tss,primary_minus_comparator,1000,-0.001742127379271802,0.013803114592658223,-0.02728793511321399,0.025509144435706746
chronological,tim_sfsa,linear_cox,2346,24h_hss2,primary_minus_comparator,1000,-0.0038990928993079483,0.03260076831333107,-0.07054994369596355,0.06328530683159092
chronological,tim_sfsa,linear_cox,2346,24h_bss,primary_minus_comparator,1000,-0.04256405609052508,0.04768709403751234,-0.12689206179546247,0.061963026458684116
chronological,tim_sfsa,linear_cox,2346,48h_tss,primary_minus_comparator,1000,-0.05973744789141765,0.017185796239147712,-0.0943396226415092,-0.02761309815449956
chronological,tim_sfsa,linear_cox,2346,48h_hss2,primary_minus_comparator,1000,-0.11054426676202264,0.04461126699056439,-0.19831483253199092,-0.02015956356224972
chronological,tim_sfsa,linear_cox,2346,48h_bss,primary_minus_comparator,1000,-0.031609765496990946,0.03778954383015857,-0.11182120299719535,0.048568667910243474
chronological,tim_sfsa,linear_cox,2347,harrell_c_index,primary_minus_comparator,999,0.001868297499747255,0.006963966423523449,-0.011508541877624439,0.016502857475605315
chronological,tim_sfsa,linear_cox,2347,uno_c_index,primary_minus_comparator,999,0.04866894870787978,0.040485117994911,-0.005461109541457997,0.14950302196773144
chronological,tim_sfsa,linear_cox,2347,integrated_auc,primary_minus_comparator,995,-0.006111553311720212,0.00797455222611925,-0.027729058992453825,0.00015238251120326394
chronological,tim_sfsa,linear_cox,2347,integrated_brier_score,comparator_minus_primary,1000,-0.0011229318587650538,0.001656421684120561,-0.004551851742702601,0.0017476551243833537
chronological,tim_sfsa,linear_cox,2347,24h_tss,primary_minus_comparator,1000,0.0821210932931819,0.011253183577270405,0.05881830529725223,0.10508341782652765
chronological,tim_sfsa,linear_cox,2347,24h_hss2,primary_minus_comparator,999,0.35248243007228136,0.08477629750947278,0.19552447987866295,0.51912261495099
chronological,tim_sfsa,linear_cox,2347,24h_bss,primary_minus_comparator,1000,-0.04475781762281108,0.049757909824975875,-0.11944806117623369,0.06793671074517801
chronological,tim_sfsa,linear_cox,2347,48h_tss,primary_minus_comparator,1000,-0.06092021995765064,0.016157481095404554,-0.0929752066115701,-0.030548345834782328
chronological,tim_sfsa,linear_cox,2347,48h_hss2,primary_minus_comparator,1000,-0.11326338107532058,0.04362884481913086,-0.19862497323088565,-0.028497585434223205
chronological,tim_sfsa,linear_cox,2347,48h_bss,primary_minus_comparator,1000,-0.037456857523399716,0.03816783761814418,-0.12072317780817207,0.04377818455576633
chronological,tim_sfsa,logistic,2345,harrell_c_index,primary_minus_comparator,997,0.009255176820823125,0.010149223474143466,-0.0016185962012995824,0.031864049086904475
chronological,tim_sfsa,logistic,2345,uno_c_index,primary_minus_comparator,997,0.06606903593534616,0.06602189492491098,-0.02192521506684254,0.21408625989279276
chronological,tim_sfsa,logistic,2345,integrated_auc,primary_minus_comparator,992,-0.00047649947056316007,0.00332960035023864,-0.005840866555779975,0.005883257998361958
chronological,tim_sfsa,logistic,2345,integrated_brier_score,comparator_minus_primary,1000,0.0013337766094714345,0.001411921414503357,-0.0016086052836348384,0.003836571191728177
chronological,tim_sfsa,logistic,2345,24h_tss,primary_minus_comparator,1000,0.046523248564824114,0.17192639155905143,-0.09842132438777207,0.5433048536218439
chronological,tim_sfsa,logistic,2345,24h_hss2,primary_minus_comparator,997,-0.31683475735753835,0.13290415992580942,-0.5263091316469869,0.05657148470179286
chronological,tim_sfsa,logistic,2345,24h_bss,primary_minus_comparator,1000,-0.030732000824203014,0.04038772447404382,-0.09394451816121428,0.05958329204452385
chronological,tim_sfsa,logistic,2345,48h_tss,primary_minus_comparator,1000,-0.11997973278437842,0.017603194834946,-0.15480538583389888,-0.0865863510352596
chronological,tim_sfsa,logistic,2345,48h_hss2,primary_minus_comparator,1000,-0.287869411215578,0.07418828309683517,-0.3978157259918593,-0.0896991753285858
chronological,tim_sfsa,logistic,2345,48h_bss,primary_minus_comparator,1000,-0.00723475903480076,0.033810230775644774,-0.0580568119271994,0.069081077351024
chronological,tim_sfsa,logistic,2346,harrell_c_index,primary_minus_comparator,998,0.009703801864231315,0.01005370647275638,-0.001603775817084435,0.03555508559639143
chronological,tim_sfsa,logistic,2346,uno_c_index,primary_minus_comparator,998,0.06903567651930714,0.07161048709935196,-0.023013322192321668,0.2324394491027417
chronological,tim_sfsa,logistic,2346,integrated_auc,primary_minus_comparator,986,0.00025097539223053035,0.003377372617418738,-0.005091694848651948,0.008337807371351952
chronological,tim_sfsa,logistic,2346,integrated_brier_score,comparator_minus_primary,1000,0.0008368122127552356,0.0016745485386425926,-0.0026627837909659474,0.003728582345568782
