split_mode,experiment,feature_count,metric,mean,std,seeds
chronological,linear_cox,24,48h_tss,0.8635882072115022,0.0,3
chronological,linear_cox,24,72h_alert_fraction,0.17130620985010706,0.0,3
chronological,linear_cox,24,72h_auc,0.9937689739218176,0.0,3
chronological,linear_cox,24,72h_average_precision,0.9422517002057016,0.0,3
chronological,linear_cox,24,72h_brier,0.010842036153482346,0.0,3
chronological,linear_cox,24,72h_bss,0.7867142778417606,0.0,3
chronological,linear_cox,24,72h_calibration_intercept,-0.4258398711114239,0.0,3
chronological,linear_cox,24,72h_calibration_slope,1.9499552083410776,0.0,3
chronological,linear_cox,24,72h_ece,0.03525300225385004,0.0,3
chronological,linear_cox,24,72h_f1,0.4534834876688108,0.0,3
chronological,linear_cox,24,72h_far,0.7035633348023236,0.0,3
chronological,linear_cox,24,72h_fn_ipcw,1.169247255604473,0.0,3
chronological,linear_cox,24,72h_fp_ipcw,75.20162130888417,0.0,3
chronological,linear_cox,24,72h_hss2,0.41045402085726107,0.0,3
chronological,linear_cox,24,72h_km_reference_brier,0.05083338933226156,0.0,3
chronological,linear_cox,24,72h_known_count,467.0,0.0,3
chronological,linear_cox,24,72h_observed_survival_km,0.9525778467901921,0.0,3
chronological,linear_cox,24,72h_precision,0.29643666519767636,0.0,3
chronological,linear_cox,24,72h_predicted_survival_mean,0.9249755777606204,0.0,3
chronological,linear_cox,24,72h_recall,0.9644112524789921,0.0,3
chronological,linear_cox,24,72h_threshold,0.1099573946987018,0.0,3
chronological,linear_cox,24,72h_tn_ipcw,580.5565165045858,0.0,3
chronological,linear_cox,24,72h_tp_ipcw,31.68516142832763,0.0,3
chronological,linear_cox,24,72h_tss,0.8497323533964232,0.0,3
chronological,linear_cox,24,event_censored_c_index,0.9804446373456791,0.0,3
chronological,linear_cox,24,event_censored_fraction,0.9672092914781473,0.0,3
chronological,linear_cox,24,event_censored_pairs,20736.0,0.0,3
chronological,linear_cox,24,event_event_c_index,0.7382645803698434,0.0,3
chronological,linear_cox,24,event_event_fraction,0.0327907085218527,0.0,3
chronological,linear_cox,24,event_event_pairs,703.0,0.0,3
chronological,linear_cox,24,harrell_c_index,0.9725033816875787,0.0,3
chronological,linear_cox,24,integrated_auc,0.9932154123961698,0.0,3
chronological,linear_cox,24,integrated_brier_score,0.011669929569123688,0.0,3
chronological,linear_cox,24,uno_c_index,0.8299982880541411,0.0,3
chronological,logistic,24,12h_alert_fraction,0.08121019108280254,0.0,3
chronological,logistic,24,12h_auc,0.997875514530112,0.0,3
chronological,logistic,24,12h_average_precision,0.9604023093998871,0.0,3
chronological,logistic,24,12h_brier,0.009275003683918459,0.0,3
chronological,logistic,24,12h_bss,0.7506319358864202,0.0,3
chronological,logistic,24,12h_calibration_intercept,1.0558415358087652,0.0,3
chronological,logistic,24,12h_calibration_slope,1.8919255079093704,0.0,3
chronological,logistic,24,12h_ece,0.013218748057093686,0.0,3
chronological,logistic,24,12h_f1,0.663015846265839,0.0,3
chronological,logistic,24,12h_far,0.5040959577463552,0.0,3
chronological,logistic,24,12h_fn_ipcw,0.0,0.0,3
chronological,logistic,24,12h_fp_ipcw,27.2844310791216,0.0,3
chronological,logistic,24,12h_hss2,0.6443527312086195,0.0,3
chronological,logistic,24,12h_km_reference_brier,0.03719403170926477,0.0,3
chronological,logistic,24,12h_known_count,628.0,0.0,3
