split_mode,experiment,seed,depth,feature_count,metric,value
chronological,linear_cox,2345,2,24,72h_bss,0.7867142778417606
chronological,linear_cox,2345,2,24,72h_predicted_survival_mean,0.9249755777606204
chronological,linear_cox,2345,2,24,72h_observed_survival_km,0.9525778467901921
chronological,linear_cox,2345,2,24,72h_ece,0.03525300225385004
chronological,linear_cox,2345,2,24,72h_calibration_intercept,-0.4258398711114239
chronological,linear_cox,2345,2,24,72h_calibration_slope,1.9499552083410776
chronological,linear_cox,2345,2,24,144h_threshold,0.15953035421942852
chronological,linear_cox,2345,2,24,144h_tp_ipcw,35.14731788723395
chronological,linear_cox,2345,2,24,144h_tn_ipcw,526.973257585965
chronological,linear_cox,2345,2,24,144h_fp_ipcw,76.80581891941189
chronological,linear_cox,2345,2,24,144h_fn_ipcw,1.169247255604473
chronological,linear_cox,2345,2,24,144h_tss,0.8405955435485382
chronological,linear_cox,2345,2,24,144h_hss2,0.4248189328196188
chronological,linear_cox,2345,2,24,144h_far,0.686053299712925
chronological,linear_cox,2345,2,24,144h_precision,0.31394670028707505
chronological,linear_cox,2345,2,24,144h_recall,0.9678040241139091
chronological,linear_cox,2345,2,24,144h_f1,0.4740997982070363
chronological,linear_cox,2345,2,24,144h_alert_fraction,0.21518987341772153
chronological,linear_cox,2345,2,24,144h_known_count,316.0
chronological,linear_cox,2345,2,24,144h_auc,0.9922925315528094
chronological,linear_cox,2345,2,24,144h_average_precision,0.9458646135831178
chronological,linear_cox,2345,2,24,144h_brier,0.014101519040782079
chronological,linear_cox,2345,2,24,144h_km_reference_brier,0.05843412983047235
chronological,linear_cox,2345,2,24,144h_bss,0.7586766658168256
chronological,linear_cox,2345,2,24,144h_predicted_survival_mean,0.9097874243720121
chronological,linear_cox,2345,2,24,144h_observed_survival_km,0.9473444532866776
chronological,linear_cox,2345,2,24,144h_ece,0.06213147338563385
chronological,linear_cox,2345,2,24,144h_calibration_intercept,0.08980909700052754
chronological,linear_cox,2345,2,24,144h_calibration_slope,2.7456116220286626
chronological,linear_cox,2345,2,24,integrated_brier_score,0.011669929569123688
chronological,linear_cox,2345,2,24,integrated_auc,0.9932154123961698
chronological,linear_cox,2346,2,24,harrell_c_index,0.9725033816875787
chronological,linear_cox,2346,2,24,uno_c_index,0.8299982880541411
chronological,linear_cox,2346,2,24,event_event_pairs,703.0
chronological,linear_cox,2346,2,24,event_event_fraction,0.0327907085218527
chronological,linear_cox,2346,2,24,event_event_c_index,0.7382645803698435
chronological,linear_cox,2346,2,24,event_censored_pairs,20736.0
chronological,linear_cox,2346,2,24,event_censored_fraction,0.9672092914781473
chronological,linear_cox,2346,2,24,event_censored_c_index,0.980444637345679
chronological,linear_cox,2346,2,24,12h_threshold,0.052064164621766995
chronological,linear_cox,2346,2,24,12h_tp_ipcw,26.841039795711808
chronological,linear_cox,2346,2,24,12h_tn_ipcw,614.4453879018183
chronological,linear_cox,2346,2,24,12h_fp_ipcw,42.56371248342969
chronological,linear_cox,2346,2,24,12h_fn_ipcw,0.0
chronological,linear_cox,2346,2,24,12h_tss,0.9352159468438539
chronological,linear_cox,2346,2,24,12h_hss2,0.5312239199837658
chronological,linear_cox,2346,2,24,12h_far,0.6132679836135881
chronological,linear_cox,2346,2,24,12h_precision,0.3867320163864119
chronological,linear_cox,2346,2,24,12h_recall,1.0
chronological,linear_cox,2346,2,24,12h_f1,0.5577602764147176
chronological,linear_cox,2346,2,24,12h_alert_fraction,0.1035031847133758
chronological,linear_cox,2346,2,24,12h_known_count,628.0
chronological,linear_cox,2346,2,24,12h_auc,0.9970571440937512
chronological,linear_cox,2346,2,24,12h_average_precision,0.9524391217677077
chronological,linear_cox,2346,2,24,12h_brier,0.009218275121681873
chronological,linear_cox,2346,2,24,12h_km_reference_brier,0.03719403170926477
chronological,linear_cox,2346,2,24,12h_bss,0.7521571419377571
chronological,linear_cox,2346,2,24,12h_predicted_survival_mean,0.9588192098729184
chronological,linear_cox,2346,2,24,12h_observed_survival_km,0.9613497134749082
chronological,linear_cox,2346,2,24,12h_ece,0.015088026255897837
chronological,linear_cox,2346,2,24,12h_calibration_intercept,0.9308752519706082
chronological,linear_cox,2346,2,24,12h_calibration_slope,2.04397399848219
chronological,linear_cox,2346,2,24,24h_threshold,0.07006751384011212
chronological,linear_cox,2346,2,24,24h_tp_ipcw,26.841039795711808
