horizon_hours,threshold_source,target_validation_alert_fraction,achieved_validation_alert_fraction,threshold,tp_ipcw,tn_ipcw,fp_ipcw,fn_ipcw,tss,hss2,far,precision,recall,f1,alert_fraction,known_count,auc,average_precision
12.0,primary_tss,,0.16071428571428573,0.07348428282418418,53.7379640725085,1153.3263635360418,50.05001200250748,5.183427241165364,0.8704367714985048,0.6390446920631692,0.4822332402583155,0.5177667597416845,0.9120280915708376,0.6605392785301175,0.08426483233018056,1163,0.9799391977792293,0.6795148720988754
12.0,validation_alert_load,0.01,0.010416666666666666,0.5104201539360205,10.275169657555903,1201.200288060179,2.17608747836989,48.64622165611796,0.17257944530482283,0.2761411918496059,0.17476849563175376,0.8252315043682462,0.1743877635688373,0.28793017719699143,0.010318142734307825,1163,0.9799391977792293,0.6795148720988754
12.0,validation_alert_load,0.025,0.025297619047619048,0.4688686453303989,17.50853531312775,1195.7600693642544,7.616306174294615,41.412856000546114,0.2908216308694547,0.39989287874793356,0.30313847663904187,0.6968615233609582,0.2971507447935051,0.4166405733987731,0.02063628546861565,1163,0.9799391977792293,0.6795148720988754
12.0,validation_alert_load,0.05,0.050595238095238096,0.4163083533293505,29.931040565784883,1188.1437631899598,15.23261234858923,28.99035074788898,0.4953243553608393,0.5571892088315786,0.3372759147155076,0.6627240852844924,0.5079825832089406,0.5751266339514954,0.03697334479793637,1163,0.9799391977792293,0.6795148720988754
12.0,validation_alert_load,0.1,0.10119047619047619,0.28546520598216696,46.54356909691217,1171.8231071021855,31.553268436363393,12.377822216761677,0.763705896735865,0.661358528041018,0.4040274796392255,0.5959725203607745,0.7899265115640749,0.6793777658431384,0.06362854686156492,1163,0.9799391977792293,0.6795148720988754
12.0,validation_alert_load,0.2,0.20089285714285715,0.06342431274878631,55.79409496587727,1117.4209201429385,85.95545539561061,3.1272963477965785,0.8754956902347675,0.524734336737621,0.6063896158852576,0.3936103841147424,0.9469242616633388,0.5560754785931544,0.11435941530524506,1163,0.9799391977792293,0.6795148720988754
24.0,primary_tss,,0.1636904761904762,0.10290723782019673,61.54375529892246,1134.3779071426688,46.778470397635836,7.572840688027735,0.8508298698600458,0.6715187687923458,0.43184554320990215,0.5681544567900979,0.8904338302560856,0.6936898556359435,0.09200743494423792,1076,0.974198118625264,0.6990544274945509
24.0,validation_alert_load,0.01,0.010416666666666666,0.6587780413102046,11.382430516206915,1179.9869157803637,1.1694617599408959,57.73416547074328,0.16369437877248294,0.2662792930464505,0.09317015587866445,0.9068298441213355,0.16468447778238407,0.27874718286784006,0.011152416356877323,1076,0.974198118625264,0.6990544274945509
24.0,validation_alert_load,0.025,0.025297619047619048,0.6142591508502347,18.61579617177876,1174.1396069806592,7.0167705596453755,50.50079981517144,0.26339842511470923,0.37423198057767554,0.2737443593989827,0.7262556406010173,0.2693390191741153,0.392949038021814,0.022304832713754646,1076,0.974198118625264,0.6990544274945509
24.0,validation_alert_load,0.05,0.050595238095238096,0.5553780865936699,32.20056240670254,1167.1228364210137,14.033541119290751,36.91603358024765,0.4540063740056637,0.5378259978680879,0.30353224241497295,0.696467757585027,0.46588756212447563,0.5583071891660149,0.039962825278810406,1076,0.974198118625264,0.6990544274945509
24.0,validation_alert_load,0.1,0.10119047619047619,0.39711665067024626,52.23846180025404,1153.0892953017233,28.0670822385815,16.87813418669616,0.732039628394044,0.6802039268870985,0.3495036684516867,0.6504963315483134,0.7558020046316677,0.699206446798838,0.0687732342007435,1076,0.974198118625264,0.6990544274945509
24.0,validation_alert_load,0.2,0.20089285714285715,0.09393781779397069,62.58847077401114,1096.9551308245602,84.2012467157445,6.528125212939051,0.8342619638065054,0.545619062236678,0.5736181536122982,0.4263818463877018,0.9055490925193768,0.5797743453274591,0.12267657992565056,1076,0.974198118625264,0.6990544274945509
