epoch,train_masked_bce,validation_masked_bce,learning_rate
0,0.7537392377853394,0.6692426204681396,0.0001
1,0.6740032434463501,0.6037028431892395,0.0001
2,0.6114687919616699,0.5486404299736023,0.0001
3,0.5590825080871582,0.5027701258659363,0.0001
4,0.513676106929779,0.46460846066474915,0.0001
5,0.47610586881637573,0.4328022599220276,0.0001
6,0.4464340806007385,0.40612438321113586,0.0001
7,0.4197896420955658,0.38355445861816406,0.0001
8,0.396234929561615,0.3642881512641907,0.0001
9,0.3766293525695801,0.34771329164505005,0.0001
10,0.35907450318336487,0.33338144421577454,0.0001
11,0.3460325598716736,0.3209855258464813,0.0001
12,0.33343473076820374,0.31030380725860596,0.0001
13,0.3216839134693146,0.30117031931877136,0.0001
14,0.3123137652873993,0.29342177510261536,0.0001
15,0.30275508761405945,0.28687727451324463,0.0001
16,0.296907901763916,0.28133806586265564,0.0001
17,0.2901683449745178,0.2765553593635559,0.0001
18,0.2850106358528137,0.27231746912002563,0.0001
19,0.28008225560188293,0.26847052574157715,0.0001
20,0.2756226658821106,0.2649591565132141,0.0001
21,0.2711051106452942,0.2617526054382324,0.0001
22,0.2684742212295532,0.2588590979576111,0.0001
23,0.264117956161499,0.2563003897666931,0.0001
24,0.2610372304916382,0.25405991077423096,0.0001
25,0.2585059404373169,0.2521008551120758,0.0001
26,0.2548603117465973,0.2503223717212677,0.0001
27,0.25619202852249146,0.24871611595153809,0.0001
28,0.2538905143737793,0.24730607867240906,0.0001
29,0.2535453736782074,0.24611589312553406,0.0001
30,0.2524665594100952,0.24517807364463806,0.0001
31,0.24767670035362244,0.24436689913272858,0.0001
32,0.2500918209552765,0.24351561069488525,0.0001
33,0.24761857092380524,0.24254940450191498,0.0001
34,0.24398620426654816,0.24137552082538605,0.0001
35,0.24521848559379578,0.24001529812812805,0.0001
36,0.24545958638191223,0.2385791838169098,0.0001
37,0.24386714398860931,0.23729948699474335,0.0001
38,0.24284906685352325,0.236245259642601,0.0001
39,0.24200773239135742,0.23545502126216888,0.0001
40,0.24366335570812225,0.23500247299671173,0.0001
41,0.24291491508483887,0.23478704690933228,0.0001
42,0.24344149231910706,0.2347642034292221,0.0001
43,0.24181658029556274,0.23470114171504974,0.0001
44,0.2397768795490265,0.2345057725906372,0.0001
45,0.24198490381240845,0.2341005653142929,0.0001
46,0.23963205516338348,0.23352651298046112,0.0001
47,0.23994223773479462,0.23299425840377808,0.0001
48,0.23857231438159943,0.23258471488952637,0.0001
49,0.23869261145591736,0.2323981672525406,0.0001
50,0.23793882131576538,0.23237736523151398,0.0001
51,0.23704960942268372,0.23244784772396088,0.0001
52,0.23565039038658142,0.23253192007541656,0.0001
53,0.23840899765491486,0.2325339913368225,0.0001
54,0.23816494643688202,0.23242969810962677,0.0001
55,0.2350032776594162,0.23229001462459564,0.0001
56,0.2350769191980362,0.23204582929611206,0.0001
57,0.2368844896554947,0.2317453920841217,0.0001
58,0.23443293571472168,0.23142372071743011,0.0001
59,0.23532094061374664,0.23118017613887787,0.0001
60,0.23570945858955383,0.2309657782316208,0.0001
61,0.23602065443992615,0.23075538873672485,0.0001
62,0.23305854201316833,0.23062410950660706,0.0001
63,0.23285074532032013,0.23053698241710663,0.0001
64,0.23286721110343933,0.2304224818944931,0.0001
65,0.23328885436058044,0.2303478866815567,0.0001
66,0.23395463824272156,0.23022018373012543,0.0001
67,0.2320941835641861,0.2300449162721634,0.0001
68,0.23304606974124908,0.2298523634672165,0.0001
69,0.2310398519039154,0.22966785728931427,0.0001
70,0.23293791711330414,0.2295159548521042,0.0001
71,0.23198264837265015,0.22935104370117188,0.0001
72,0.23068538308143616,0.22929710149765015,0.0001
73,0.23289945721626282,0.22932083904743195,0.0001
74,0.23088473081588745,0.2294211983680725,0.0001
75,0.23076024651527405,0.22957119345664978,0.0001
76,0.22979114949703217,0.22960202395915985,0.0001
77,0.22865177690982819,0.22953927516937256,0.0001
78,0.23208196461200714,0.22953493893146515,0.0001
79,0.22875210642814636,0.2295360565185547,5e-05
80,0.2293345183134079,0.22959847748279572,5e-05
81,0.22805364429950714,0.2296770215034485,5e-05
82,0.22990554571151733,0.22974228858947754,5e-05
83,0.2280827760696411,0.22979086637496948,5e-05
84,0.2274162769317627,0.2298276424407959,5e-05
85,0.22816084325313568,0.22985652089118958,5e-05
86,0.2296762615442276,0.2298898994922638,2.5e-05
87,0.22764424979686737,0.22990600764751434,2.5e-05
88,0.22908322513103485,0.229908749461174,2.5e-05
89,0.22958338260650635,0.22992785274982452,2.5e-05
90,0.2288396805524826,0.22997695207595825,2.5e-05
91,0.22790196537971497,0.230019673705101,2.5e-05
92,0.2266865223646164,0.23004150390625,2.5e-05
93,0.22855941951274872,0.2300797700881958,1.25e-05
94,0.22777535021305084,0.23010194301605225,1.25e-05
95,0.2279699742794037,0.2301313430070877,1.25e-05
96,0.22640348970890045,0.2301543951034546,1.25e-05
97,0.22790727019309998,0.2301778644323349,1.25e-05
