epoch,train_efron_loss,validation_efron_loss,learning_rate
0,6.9893317222595215,6.035680294036865,0.0001
1,6.925547122955322,5.9697699546813965,0.0001
2,6.861084938049316,5.90192985534668,0.0001
3,6.804449558258057,5.8323822021484375,0.0001
4,6.741091251373291,5.762082576751709,0.0001
5,6.686694145202637,5.692270278930664,0.0001
6,6.622551918029785,5.6240973472595215,0.0001
7,6.558014869689941,5.5583624839782715,0.0001
8,6.5076375007629395,5.495628356933594,0.0001
9,6.4469099044799805,5.436234474182129,0.0001
10,6.398738861083984,5.380273342132568,0.0001
11,6.3478875160217285,5.32796573638916,0.0001
12,6.325963497161865,5.279523849487305,0.0001
13,6.28260612487793,5.2350006103515625,0.0001
14,6.244490623474121,5.1947340965271,0.0001
15,6.19039249420166,5.158774375915527,0.0001
16,6.150576114654541,5.127255916595459,0.0001
17,6.121555328369141,5.100096702575684,0.0001
18,6.101739883422852,5.077395915985107,0.0001
19,6.081249237060547,5.058916091918945,0.0001
20,6.072144031524658,5.044363498687744,0.0001
21,6.044093608856201,5.0329790115356445,0.0001
22,6.008538722991943,5.023618221282959,0.0001
23,5.998462677001953,5.016542911529541,0.0001
24,5.982555866241455,5.010519027709961,0.0001
25,5.9729156494140625,5.005451202392578,0.0001
26,5.966700553894043,5.001913547515869,0.0001
27,5.99304723739624,4.999739170074463,0.0001
28,5.947321891784668,4.995970726013184,0.0001
29,5.968619346618652,4.993656158447266,0.0001
30,5.955933094024658,4.989996433258057,0.0001
31,5.94675350189209,4.983961582183838,0.0001
32,5.957216262817383,4.978360176086426,0.0001
33,5.905149936676025,4.971947193145752,0.0001
34,5.910953998565674,4.9662604331970215,0.0001
35,5.946588516235352,4.960268497467041,0.0001
36,5.895015239715576,4.95451021194458,0.0001
37,5.9320292472839355,4.950117588043213,0.0001
38,5.902902603149414,4.94541597366333,0.0001
39,5.914480209350586,4.941770553588867,0.0001
40,5.905786037445068,4.938856601715088,0.0001
41,5.924895763397217,4.935781955718994,0.0001
42,5.908012390136719,4.932621479034424,0.0001
43,5.862485408782959,4.930080413818359,0.0001
44,5.893815040588379,4.927070140838623,0.0001
45,5.902470588684082,4.9245123863220215,0.0001
46,5.859007358551025,4.924010276794434,0.0001
47,5.913481712341309,4.925149440765381,0.0001
48,5.916044235229492,4.926989555358887,0.0001
49,5.888681888580322,4.929133415222168,0.0001
50,5.877953052520752,4.931669235229492,0.0001
51,5.876247406005859,4.933953762054443,0.0001
52,5.845316410064697,4.935480117797852,0.0001
53,5.877217769622803,4.937468528747559,5e-05
54,5.857549667358398,4.93782377243042,5e-05
55,5.8579630851745605,4.937042713165283,5e-05
56,5.879349708557129,4.93503999710083,5e-05
57,5.883417129516602,4.93267297744751,5e-05
58,5.873976230621338,4.930481910705566,5e-05
59,5.860018253326416,4.928379535675049,5e-05
60,5.844979763031006,4.9258856773376465,2.5e-05
61,5.855987071990967,4.9242730140686035,2.5e-05
62,5.844820499420166,4.922666072845459,2.5e-05
63,5.870042324066162,4.920980930328369,2.5e-05
64,5.889187812805176,4.9195451736450195,2.5e-05
65,5.879443645477295,4.9185943603515625,2.5e-05
66,5.805904388427734,4.917963027954102,2.5e-05
67,5.853940486907959,4.917500019073486,2.5e-05
68,5.854095935821533,4.917658805847168,2.5e-05
69,5.875048637390137,4.918273448944092,2.5e-05
70,5.876334190368652,4.918567180633545,2.5e-05
71,5.837870121002197,4.918298244476318,2.5e-05
72,5.859050750732422,4.917890548706055,2.5e-05
73,5.822516441345215,4.918026924133301,1.25e-05
74,5.841159820556641,4.917902946472168,1.25e-05
75,5.847139835357666,4.918085098266602,1.25e-05
76,5.860307216644287,4.918544769287109,1.25e-05
77,5.848010063171387,4.9191694259643555,1.25e-05
78,5.8387603759765625,4.9195756912231445,1.25e-05
79,5.8637495040893555,4.920009136199951,1.25e-05
80,5.86153507232666,4.920309066772461,6.25e-06
81,5.837958335876465,4.920430660247803,6.25e-06
82,5.831012725830078,4.920497417449951,6.25e-06
83,5.847936153411865,4.92063570022583,6.25e-06
84,5.861546516418457,4.920775890350342,6.25e-06
85,5.836668014526367,4.920783519744873,6.25e-06
86,5.883472442626953,4.920711994171143,6.25e-06
87,5.828546524047852,4.920621395111084,3.125e-06
88,5.850123405456543,4.92055606842041,3.125e-06
89,5.858361721038818,4.920483589172363,3.125e-06
90,5.842434406280518,4.920403957366943,3.125e-06
91,5.855020523071289,4.920366287231445,3.125e-06
92,5.850605010986328,4.920353889465332,3.125e-06
