depth,seed,validation_integrated_brier_score,validation_uno_c_index
1,2345,0.06925914343590771,0.8444298453501325
1,2346,0.06901513469897892,0.846536855164705
1,2347,0.06854880813824228,0.8410072290501911
2,2345,0.06924632931297861,0.8520272522405081
2,2346,0.06960359617256978,0.8546198670827612
2,2347,0.06856660074710785,0.8487246689566343
3,2345,0.06652330249140749,0.8484252134260647
3,2346,0.0699582767884681,0.8441016607330407
3,2347,0.06991962479373301,0.8552647079675864
7,2345,0.07082582138057447,0.8282780459331184
7,2346,0.071547452124796,0.8261008602629571
7,2347,0.07180595335274989,0.8335105221885589
