epoch,train_efron_loss,validation_efron_loss,learning_rate
0,7.45635461807251,6.139595985412598,0.0001
1,7.451941967010498,6.13425874710083,0.0001
2,7.4461669921875,6.128881931304932,0.0001
3,7.43905782699585,6.123414039611816,0.0001
4,7.434062957763672,6.117812156677246,0.0001
5,7.429533958435059,6.11202335357666,0.0001
6,7.4224443435668945,6.105997085571289,0.0001
7,7.417661666870117,6.099668502807617,0.0001
8,7.409876346588135,6.092978000640869,0.0001
9,7.400941371917725,6.085854530334473,0.0001
10,7.394601821899414,6.078218460083008,0.0001
11,7.387178897857666,6.069976806640625,0.0001
12,7.37852144241333,6.061028957366943,0.0001
13,7.369573593139648,6.051259517669678,0.0001
14,7.3618621826171875,6.040543079376221,0.0001
15,7.35030460357666,6.028745651245117,0.0001
16,7.339232921600342,6.015716075897217,0.0001
17,7.325430870056152,6.001291275024414,0.0001
18,7.310531139373779,5.985296249389648,0.0001
19,7.2972211837768555,5.967548370361328,0.0001
20,7.27912712097168,5.947856903076172,0.0001
21,7.259150505065918,5.926032066345215,0.0001
22,7.239333152770996,5.901885986328125,0.0001
23,7.21464204788208,5.875255584716797,0.0001
24,7.187099933624268,5.845983982086182,0.0001
25,7.1579484939575195,5.813961029052734,0.0001
26,7.131300926208496,5.7791242599487305,0.0001
27,7.100662708282471,5.741468906402588,0.0001
28,7.061676025390625,5.7010955810546875,0.0001
29,7.022310256958008,5.658187389373779,0.0001
30,6.982696056365967,5.61305570602417,0.0001
31,6.9373860359191895,5.566169738769531,0.0001
32,6.899106025695801,5.5181121826171875,0.0001
33,6.8605828285217285,5.46958589553833,0.0001
34,6.809425354003906,5.421396732330322,0.0001
35,6.775482654571533,5.374403476715088,0.0001
36,6.739065647125244,5.329397201538086,0.0001
37,6.6903228759765625,5.286978721618652,0.0001
38,6.64500093460083,5.247644901275635,0.0001
39,6.630439758300781,5.211813449859619,0.0001
40,6.5864081382751465,5.1796159744262695,0.0001
41,6.5729756355285645,5.151238441467285,0.0001
42,6.540737628936768,5.1267194747924805,0.0001
43,6.516308784484863,5.10619592666626,0.0001
44,6.485111236572266,5.0896501541137695,0.0001
45,6.465732574462891,5.077058792114258,0.0001
46,6.457120418548584,5.06825065612793,0.0001
47,6.443698883056641,5.0629425048828125,0.0001
48,6.414113998413086,5.060561656951904,0.0001
49,6.426336288452148,5.060804843902588,0.0001
50,6.384411811828613,5.063303470611572,0.0001
51,6.407400131225586,5.067988395690918,0.0001
52,6.379335403442383,5.074861526489258,0.0001
53,6.355161666870117,5.084457874298096,0.0001
54,6.358187675476074,5.098201274871826,0.0001
55,6.36100959777832,5.115142345428467,5e-05
56,6.353753566741943,5.122293472290039,5e-05
57,6.382416725158691,5.125870704650879,5e-05
58,6.355229377746582,5.125217914581299,5e-05
59,6.373287200927734,5.121192932128906,5e-05
60,6.37006950378418,5.114305019378662,5e-05
61,6.344910144805908,5.105961322784424,5e-05
62,6.35959005355835,5.097909450531006,2.5e-05
63,6.3486409187316895,5.094234466552734,2.5e-05
64,6.339437007904053,5.090854644775391,2.5e-05
65,6.347355365753174,5.087701320648193,2.5e-05
66,6.318898677825928,5.084806442260742,2.5e-05
67,6.329941749572754,5.0822062492370605,2.5e-05
68,6.344542026519775,5.079742908477783,2.5e-05
69,6.3258490562438965,5.077580451965332,1.25e-05
70,6.356206893920898,5.0765604972839355,1.25e-05
71,6.346441745758057,5.0756072998046875,1.25e-05
72,6.358432769775391,5.074747562408447,1.25e-05
73,6.362146377563477,5.074002265930176,1.25e-05
