risk_quantile_bin,count,risk_min,risk_max,event_fraction_observed,duration_median_hours
1,259,-2.590009927749634,-2.483123540878296,0.0,98.0
2,259,-2.4829790592193604,-2.395085096359253,0.0,122.6
3,259,-2.3945512771606445,-2.0452582836151123,0.019305019305019305,92.8
4,259,-2.0452096462249756,-0.6796262264251709,0.02702702702702703,97.8
5,259,-0.67878258228302,2.583383798599243,0.37065637065637064,92.6
