risk_quantile_bin,count,risk_min,risk_max,event_fraction_observed,duration_median_hours
1,141,0.023716886282518453,0.044241197179492396,0.014184397163120567,116.4
2,141,0.04424852844365177,0.05062875831616929,0.0070921985815602835,141.2
3,140,0.05067009659120756,0.0539969210151177,0.007142857142857143,124.80000000000001
4,141,0.0540414143245444,0.06053521489047934,0.0070921985815602835,137.2
5,141,0.06058547381538426,0.9968681816599567,0.23404255319148937,28.2
