epoch,train_masked_bce,validation_masked_bce,learning_rate
0,0.7480338215827942,0.6695696115493774,0.0001
1,0.6682042479515076,0.6042318940162659,0.0001
2,0.5992181301116943,0.5493709444999695,0.0001
3,0.5402056574821472,0.5036729574203491,0.0001
4,0.4916449189186096,0.46576905250549316,0.0001
5,0.45075953006744385,0.4342721104621887,0.0001
6,0.416286826133728,0.4080173373222351,0.0001
7,0.387417733669281,0.3859364986419678,0.0001
8,0.364577978849411,0.36716973781585693,0.0001
9,0.34139344096183777,0.3510178029537201,0.0001
10,0.32293203473091125,0.33695951104164124,0.0001
11,0.3086470365524292,0.3245794177055359,0.0001
12,0.29421350359916687,0.3136119544506073,0.0001
13,0.28215306997299194,0.3039216995239258,0.0001
14,0.27165454626083374,0.29541781544685364,0.0001
15,0.2617493271827698,0.28806260228157043,0.0001
16,0.25299960374832153,0.28183114528656006,0.0001
17,0.2463727742433548,0.2766502797603607,0.0001
18,0.2408367395401001,0.27242404222488403,0.0001
19,0.23484370112419128,0.2689756453037262,0.0001
20,0.23068557679653168,0.2660951316356659,0.0001
21,0.22632542252540588,0.26365241408348083,0.0001
22,0.2222149819135666,0.2615508735179901,0.0001
23,0.21926842629909515,0.25972843170166016,0.0001
24,0.21587693691253662,0.2582308053970337,0.0001
25,0.21184253692626953,0.256998747587204,0.0001
26,0.2106148600578308,0.25596123933792114,0.0001
27,0.2086077183485031,0.25497329235076904,0.0001
28,0.20711646974086761,0.2538536489009857,0.0001
29,0.2069629430770874,0.25248444080352783,0.0001
30,0.20494864881038666,0.25087064504623413,0.0001
31,0.20421363413333893,0.2491185963153839,0.0001
32,0.2012779712677002,0.24742378294467926,0.0001
33,0.20065850019454956,0.2458849549293518,0.0001
34,0.19972197711467743,0.24459493160247803,0.0001
35,0.19849079847335815,0.24347183108329773,0.0001
36,0.19768795371055603,0.24245016276836395,0.0001
37,0.19716757535934448,0.2415105402469635,0.0001
38,0.19747015833854675,0.2406546175479889,0.0001
39,0.19492557644844055,0.2399449199438095,0.0001
40,0.19601207971572876,0.23935151100158691,0.0001
41,0.19451254606246948,0.23885191977024078,0.0001
42,0.1953749805688858,0.2383713573217392,0.0001
43,0.19498735666275024,0.23788569867610931,0.0001
44,0.1928880363702774,0.2374376803636551,0.0001
45,0.19319193065166473,0.2370569407939911,0.0001
46,0.19276970624923706,0.23677146434783936,0.0001
47,0.19236445426940918,0.2365107536315918,0.0001
48,0.19264356791973114,0.23626874387264252,0.0001
49,0.19127056002616882,0.23603670299053192,0.0001
50,0.19118845462799072,0.2358357012271881,0.0001
51,0.19220605492591858,0.2356456220149994,0.0001
52,0.1900632530450821,0.2355043739080429,0.0001
53,0.19081521034240723,0.23532962799072266,0.0001
54,0.18831008672714233,0.23509636521339417,0.0001
55,0.18812204897403717,0.23480337858200073,0.0001
56,0.1888861358165741,0.23451510071754456,0.0001
57,0.18888629972934723,0.23432113230228424,0.0001
58,0.1888229101896286,0.2341620922088623,0.0001
59,0.18641379475593567,0.2340484857559204,0.0001
60,0.1883055865764618,0.233966663479805,0.0001
61,0.18726152181625366,0.23384523391723633,0.0001
62,0.1867932826280594,0.23373636603355408,0.0001
63,0.18591871857643127,0.23356357216835022,0.0001
64,0.18760131299495697,0.2333393692970276,0.0001
65,0.18541397154331207,0.23314684629440308,0.0001
66,0.18655958771705627,0.2329559475183487,0.0001
67,0.18610058724880219,0.23273681104183197,0.0001
68,0.18594637513160706,0.23258201777935028,0.0001
69,0.18454860150814056,0.23240773379802704,0.0001
70,0.18474948406219482,0.2323213815689087,0.0001
71,0.18612004816532135,0.23226235806941986,0.0001
72,0.18502403795719147,0.23219625651836395,0.0001
73,0.18589667975902557,0.23201213777065277,0.0001
74,0.18504616618156433,0.2318475991487503,0.0001
75,0.18549120426177979,0.23164458572864532,0.0001
76,0.1827561855316162,0.23151621222496033,0.0001
77,0.18397054076194763,0.23143799602985382,0.0001
78,0.18372206389904022,0.2313675433397293,0.0001
79,0.18255165219306946,0.231351837515831,0.0001
80,0.1850159466266632,0.2313918024301529,0.0001
81,0.18187791109085083,0.23146361112594604,0.0001
82,0.18331937491893768,0.23151983320713043,0.0001
83,0.18235395848751068,0.23146234452724457,0.0001
84,0.18140947818756104,0.2315702736377716,0.0001
85,0.18145839869976044,0.23159722983837128,5e-05
86,0.18123887479305267,0.23161466419696808,5e-05
87,0.18138249218463898,0.23165655136108398,5e-05
88,0.18116642534732819,0.23169659078121185,5e-05
89,0.1807808130979538,0.23168468475341797,5e-05
90,0.1806349754333496,0.23166798055171967,5e-05
91,0.18168841302394867,0.2316368818283081,5e-05
92,0.1797405630350113,0.23157475888729095,2.5e-05
93,0.17956796288490295,0.2315625548362732,2.5e-05
94,0.18071463704109192,0.2315470576286316,2.5e-05
95,0.18117521703243256,0.23155477643013,2.5e-05
96,0.18070942163467407,0.23157301545143127,2.5e-05
97,0.17915625870227814,0.23157089948654175,2.5e-05
98,0.17931465804576874,0.23158109188079834,2.5e-05
99,0.18130990862846375,0.2315957099199295,1.25e-05
