horizon_hours,threshold_source,target_validation_alert_fraction,achieved_validation_alert_fraction,threshold,tp_ipcw,tn_ipcw,fp_ipcw,fn_ipcw,tss,hss2,far,precision,recall,f1,alert_fraction,known_count,auc,average_precision
12.0,primary_tss,,0.15922619047619047,0.07327206503715333,43.602729763306215,536.4055634181778,70.72284304702141,7.270073346809679,0.7406056691767424,0.47130761226327283,0.6186091292484007,0.3813908707515993,0.857093124373875,0.5278832739167422,0.17627677100494235,607,0.9196537575681418,0.4279610426863366
12.0,validation_alert_load,0.01,0.010416666666666666,0.5683670410274416,4.1541073349211795,603.8642752476444,3.2641312175548345,46.7186957751947,0.07628039745286097,0.1253175937703658,0.44001432340907304,0.559985676590927,0.08165674153888229,0.14252987136399267,0.011532125205930808,607,0.9196537575681418,0.4279610426863366
12.0,validation_alert_load,0.025,0.025297619047619048,0.4903433229899122,7.271378889700944,596.2479690733497,10.88043739184945,43.60142422041495,0.12501139155763008,0.17723281581443895,0.5994131508982043,0.4005868491017956,0.14293253851103505,0.21068943092437703,0.02800658978583196,607,0.9196537575681418,0.4279610426863366
12.0,validation_alert_load,0.05,0.050595238095238096,0.4516510941685263,14.571743704316292,585.3675316815004,21.760874783698892,36.3010594057996,0.2505925556291053,0.28834654556049333,0.5989349430148289,0.40106505698517114,0.28643484953591536,0.3341935268994464,0.05601317957166392,607,0.9196537575681418,0.4279610426863366
12.0,validation_alert_load,0.1,0.10119047619047619,0.31560032373753244,30.094331604032398,564.6947006369865,42.433705828212865,20.77847150608349,0.5216678452485344,0.4365410706570879,0.5850662354934651,0.4149337645065348,0.591560318366814,0.4877492158362015,0.11202635914332784,607,0.9196537575681418,0.4279610426863366
12.0,validation_alert_load,0.2,0.20089285714285715,0.055529280475789644,44.64575339147168,507.02838246018433,100.10002400501492,6.227049718644215,0.712721150684068,0.38623270925065734,0.6915574727324973,0.3084425272675026,0.8775957026553941,0.45645718597743123,0.22240527182866557,607,0.9196537575681418,0.4279610426863366
24.0,primary_tss,,0.15922619047619047,0.1094354744724686,64.93650277184673,535.6134860529303,52.62577919734031,8.390763296653251,0.7961078124945153,0.6298182648064635,0.44764169524315184,0.5523583047568482,0.8855710331704598,0.6803568182688182,0.1853146853146853,572,0.9440142059361547,0.6413444844155481
24.0,validation_alert_load,0.01,0.010416666666666666,0.7218562878034286,6.369766195594194,587.0698034903296,1.1694617599408959,66.95749987290579,0.08487956358227056,0.13975912283395178,0.1551169120814698,0.8448830879185302,0.08686763515284701,0.15753783498270565,0.012237762237762238,572,0.9440142059361547,0.6413444844155481
24.0,validation_alert_load,0.025,0.025297619047619048,0.6417725851929147,12.809054132099757,583.561418210507,4.677847039763583,60.51821193640023,0.16673108620472954,0.25008310232556613,0.26750577439588336,0.7324942256041166,0.17468337248703572,0.2820937420082764,0.027972027972027972,572,0.9440142059361547,0.6413444844155481
24.0,validation_alert_load,0.05,0.050595238095238096,0.5995383262287325,23.456289716653057,575.3751858909208,12.864079359349855,49.87097635184691,0.29801617467956887,0.38250600603624435,0.3541836078931596,0.6458163921068404,0.31988496195591076,0.42784852925902844,0.057692307692307696,572,0.9440142059361547,0.6413444844155481
24.0,validation_alert_load,0.1,0.10119047619047619,0.43874217535970944,46.80722776367848,561.34164477163,26.897620478640594,26.520038304821504,0.5926075452431361,0.5912749921960064,0.3649369223339205,0.6350630776660795,0.6383331913663965,0.6366939356490537,0.11713286713286714,572,0.9440142059361547,0.6413444844155481
24.0,validation_alert_load,0.2,0.20089285714285715,0.08333655661886989,65.97952640001219,505.207480294467,83.03178495580364,7.347739668487788,0.7586421779819836,0.5225746738793036,0.5572180004344546,0.4427819995655453,0.8997952594929182,0.5935049793369453,0.23251748251748253,572,0.9440142059361547,0.6413444844155481
48.0,primary_tss,,0.1636904761904762,0.12602124189605346,79.58286679306028,518.3084326459053,46.395895505387955,14.65070508912331,0.7623681293746394,0.6685498240999032,0.3682834682521678,0.6317165317478322,0.844527753787785,0.7227830093093828,0.2109375,512,0.9359079506652551,0.7180715752600464
48.0,validation_alert_load,0.01,0.010416666666666666,0.8297859461700192,7.631340032781447,564.7043281512933,0.0,86.60223184940214,0.080983240689662,0.13121688318810856,0.0,1.0,0.08098324068966208,0.1498325554760593,0.013671875,512,0.9359079506652551,0.7180715752600464
48.0,validation_alert_load,0.025,0.025297619047619048,0.7584364002394135,16.429266349243452,563.3787311368535,1.3255970144396556,77.80430553294015,0.17199879467276458,0.2598473750629321,0.0746610653817316,0.9253389346182684,0.17434621251314017,0.2934100528000694,0.03125,512,0.9359079506652551,0.7180715752600464
48.0,validation_alert_load,0.05,0.050595238095238096,0.7181544346158076,28.26932752823485,555.4251490502156,9.27917910107759,65.96424435394874,0.2835601794555025,0.3783722982936514,0.24712511718998031,0.7528748828100197,0.29999210433813167,0.4290314411116042,0.064453125,512,0.9359079506652551,0.7180715752600464
48.0,validation_alert_load,0.1,0.10119047619047619,0.5503413509948135,55.2530457208264,543.4947759202587,21.20955223103449,38.98052616135718,0.5487827278870969,0.595569086502501,0.2773846664795191,0.722615333520481,0.5863414133331064,0.647384716066505,0.130859375,512,0.9359079506652551,0.7180715752600464
48.0,validation_alert_load,0.2,0.20089285714285715,0.11344665633472882,80.62589042122575,486.4941042993536,78.21022385193967,13.607681460957847,0.7170985941782733,0.5578022697355892,0.4923957263109206,0.5076042736890793,0.8555962467604329,0.6371833122022591,0.259765625,512,0.9359079506652551,0.7180715752600464
72.0,primary_tss,,0.1636904761904762,0.15157824664605168,89.59036170018348,533.1913591753372,37.654757003908,18.753981633396982,0.7609408545866485,0.7107143647441583,0.29592299796956567,0.7040770020304343,0.8269039152726644,0.7605634048763821,0.22105263157894736,475,0.9370738981891075,0.7548282081468314
72.0,validation_alert_load,0.01,0.010416666666666666,0.8847626611440707,7.631340032781447,570.8461161792452,0.0,100.71300330079902,0.07043598030111631,0.11298105438524374,0.0,1.0,0.07043598030111622,0.1316024154593578,0.014736842105263158,475,0.9370738981891075,0.7548282081468314
72.0,validation_alert_load,0.025,0.025297619047619048,0.8233572422436272,17.831157515308735,570.8461161792452,0.0,90.51318581827172,0.16457857389387232,0.2487700307950899,0.0,1.0,0.16457857389387223,0.28264056643870594,0.03368421052631579,475,0.9370738981891075,0.7548282081468314
72.0,validation_alert_load,0.05,0.050595238095238096,0.7867777761783851,31.163105931105083,563.3151647784636,7.5309514007816,77.18123740247539,0.2744375951469673,0.3710742343911549,0.19462811398109847,0.8053718860189015,0.2876302072841705,0.4238771067975024,0.06947368421052631,475,0.9370738981891075,0.7548282081468314
72.0,validation_alert_load,0.1,0.10119047619047619,0.6229466268951285,59.49943515202775,552.7718328173694,18.074283361875843,48.84490818155269,0.5175074735755574,0.5847886127401566,0.23299493318263936,0.7670050668173606,0.549169742704845,0.6400608371319781,0.13894736842105262,475,0.9370738981891075,0.7548282081468314
72.0,validation_alert_load,0.2,0.20089285714285715,0.13665831013397592,91.98141554565359,498.54898273174183,72.29713344750336,16.36292778792686,0.72232386212952,0.5973868186932221,0.4400887023327367,0.5599112976672632,0.8489729386466703,0.6747886412665173,0.2736842105263158,475,0.9370738981891075,0.7548282081468314
144.0,primary_tss,,0.16666666666666666,0.20084384428568736,99.9657025128218,534.2393741938538,30.037555175558037,31.269641135708145,0.7084965688255278,0.7110581174778776,0.23105232676213852,0.7689476732378615,0.7617285079890259,0.7653210666512468,0.26881720430107525,372,0.9233325245402038,0.7790810557543434
144.0,validation_alert_load,0.01,0.010416666666666666,0.9520142603353613,7.631340032781447,564.2769293694118,0.0,123.6040036157485,0.05815003657261286,0.09105872865188903,0.0,1.0,0.05815003657261296,0.10990886842656658,0.01881720430107527,372,0.9233325245402038,0.7790810557543434
144.0,validation_alert_load,0.025,0.025297619047619048,0.912552230509344,17.831157515308735,564.2769293694118,0.0,113.40418613322122,0.13587161064677478,0.20327217240914902,0.0,1.0,0.13587161064677467,0.2392376204726311,0.043010752688172046,372,0.9233325245402038,0.7790810557543434
144.0,validation_alert_load,0.05,0.050595238095238096,0.8860714754055273,32.82334570957116,559.9858500586179,4.291079310794006,98.41199793895878,0.2425060004462931,0.3345816459303781,0.11561756132391748,0.8843824386760826,0.2501105631839357,0.38994227279429244,0.08333333333333333,372,0.9233325245402038,0.7790810557543434
144.0,validation_alert_load,0.1,0.10119047619047619,0.7461320212775201,61.159674930493836,551.4036914370298,12.87323793238202,70.0756687180361,0.44321682788256567,0.5322339524509838,0.17388533605621997,0.82611466394378,0.46603051609549345,0.5958999795674251,0.1639784946236559,372,0.9233325245402038,0.7790810557543434
144.0,validation_alert_load,0.2,0.20089285714285715,0.18660622045657185,104.09813637370011,491.3285810859137,72.9483482834981,27.13720727482982,0.6639396680831835,0.5855129382482542,0.412029351640291,0.587970648359709,0.7932172346231077,0.6753439665633765,0.33064516129032256,372,0.9233325245402038,0.7790810557543434
