risk_quantile_bin,count,risk_min,risk_max,event_fraction_observed,duration_median_hours
1,135,-3.417659044265747,-3.1453440189361572,0.0,57.6
2,134,-3.1435694694519043,-3.0073769092559814,0.007462686567164179,129.39999999999998
3,134,-3.0067803859710693,-2.257932424545288,0.04477611940298507,175.45
4,134,-2.2244160175323486,-0.6215344071388245,0.17164179104477612,121.01666666666667
5,135,-0.6201317310333252,1.8926582336425781,0.6444444444444445,28.3
