epoch,train_masked_bce,validation_masked_bce,learning_rate
0,0.8089247941970825,0.692863941192627,0.0001
1,0.7107377052307129,0.6191114187240601,0.0001
2,0.6261500716209412,0.5596765875816345,0.0001
3,0.5574032068252563,0.5136443972587585,0.0001
4,0.5026941895484924,0.4797248840332031,0.0001
5,0.4578891098499298,0.4562681317329407,0.0001
6,0.42703157663345337,0.44145944714546204,0.0001
7,0.4025650918483734,0.43341511487960815,0.0001
8,0.38751089572906494,0.43028852343559265,0.0001
9,0.3769659101963043,0.4304029047489166,0.0001
10,0.37053775787353516,0.4323174059391022,0.0001
11,0.366968035697937,0.43486443161964417,0.0001
12,0.3657093048095703,0.43713897466659546,0.0001
13,0.36433887481689453,0.4384583830833435,0.0001
14,0.3639203608036041,0.4383546710014343,0.0001
15,0.36404773592948914,0.43643224239349365,5e-05
16,0.3612842857837677,0.43451210856437683,5e-05
17,0.36014512181282043,0.431688517332077,5e-05
18,0.35667604207992554,0.4279119372367859,5e-05
19,0.3518921136856079,0.4231169521808624,5e-05
20,0.3482782244682312,0.4172292947769165,5e-05
21,0.34499889612197876,0.41013893485069275,5e-05
22,0.3383930027484894,0.40176084637641907,5e-05
23,0.33126842975616455,0.39201831817626953,5e-05
24,0.326322466135025,0.3808538019657135,5e-05
25,0.3166332542896271,0.3683013916015625,5e-05
26,0.3066738545894623,0.35450413823127747,5e-05
27,0.29719778895378113,0.3397672176361084,5e-05
28,0.2850329875946045,0.324648916721344,5e-05
29,0.2736974060535431,0.30991554260253906,5e-05
30,0.2640569806098938,0.2965017557144165,5e-05
31,0.25270503759384155,0.2853035628795624,5e-05
32,0.24552452564239502,0.2769060730934143,5e-05
33,0.24120068550109863,0.27141332626342773,5e-05
34,0.23854804039001465,0.26837098598480225,5e-05
35,0.2385905236005783,0.2669873833656311,5e-05
36,0.23879987001419067,0.2663964629173279,5e-05
37,0.23935464024543762,0.2659042775630951,5e-05
38,0.2406567931175232,0.26508674025535583,5e-05
39,0.23900172114372253,0.26378798484802246,5e-05
40,0.2378433495759964,0.26206865906715393,5e-05
41,0.23293103277683258,0.2601203918457031,5e-05
42,0.22954347729682922,0.25816312432289124,5e-05
43,0.22526760399341583,0.25640425086021423,5e-05
44,0.22212131321430206,0.25500187277793884,5e-05
45,0.22031642496585846,0.25406092405319214,5e-05
46,0.21640141308307648,0.25362804532051086,5e-05
47,0.21493928134441376,0.25369399785995483,5e-05
48,0.21226079761981964,0.25418615341186523,5e-05
49,0.21183264255523682,0.25500208139419556,5e-05
50,0.20891250669956207,0.25596898794174194,5e-05
51,0.2091696709394455,0.2569052577018738,5e-05
52,0.21019738912582397,0.25763607025146484,5e-05
53,0.2078692615032196,0.2579977810382843,2.5e-05
54,0.20776158571243286,0.2579282820224762,2.5e-05
55,0.20848201215267181,0.2576190233230591,2.5e-05
56,0.20741616189479828,0.2571018636226654,2.5e-05
57,0.20885758101940155,0.25643327832221985,2.5e-05
58,0.20604254305362701,0.25568678975105286,2.5e-05
59,0.20691092312335968,0.2549070417881012,2.5e-05
60,0.20549891889095306,0.25415024161338806,1.25e-05
61,0.20307853817939758,0.2537952959537506,1.25e-05
62,0.2035474181175232,0.2534652352333069,1.25e-05
63,0.20405200123786926,0.25315555930137634,1.25e-05
64,0.20283988118171692,0.2528736889362335,1.25e-05
65,0.20235967636108398,0.252619206905365,1.25e-05
66,0.20472998917102814,0.25239837169647217,1.25e-05
67,0.20201866328716278,0.25220876932144165,1.25e-05
68,0.20206604897975922,0.2520527243614197,1.25e-05
69,0.2039584219455719,0.25192028284072876,1.25e-05
70,0.20270024240016937,0.25181570649147034,1.25e-05
71,0.20156268775463104,0.25173357129096985,1.25e-05
72,0.2031393200159073,0.25167116522789,1.25e-05
73,0.20284144580364227,0.25162607431411743,1.25e-05
74,0.20312342047691345,0.25159409642219543,1.25e-05
75,0.20101499557495117,0.2515731155872345,1.25e-05
76,0.20180192589759827,0.25155964493751526,1.25e-05
77,0.20284786820411682,0.25155556201934814,1.25e-05
78,0.20163144171237946,0.2515602707862854,1.25e-05
79,0.20113642513751984,0.25157156586647034,1.25e-05
80,0.20280666649341583,0.2515885531902313,1.25e-05
81,0.20180243253707886,0.2516111433506012,1.25e-05
82,0.2017263025045395,0.2516360282897949,1.25e-05
83,0.20150037109851837,0.25166550278663635,6.25e-06
84,0.20264016091823578,0.2516835033893585,6.25e-06
85,0.20010074973106384,0.2517044246196747,6.25e-06
86,0.19974260032176971,0.2517266273498535,6.25e-06
87,0.20175008475780487,0.25174644589424133,6.25e-06
88,0.20225414633750916,0.25176653265953064,6.25e-06
89,0.20153136551380157,0.25178641080856323,6.25e-06
90,0.20103377103805542,0.25180625915527344,3.125e-06
91,0.20149046182632446,0.2518152892589569,3.125e-06
92,0.20153842866420746,0.2518227696418762,3.125e-06
93,0.2007083296775818,0.25183117389678955,3.125e-06
94,0.19957363605499268,0.2518385946750641,3.125e-06
95,0.20128457248210907,0.25184449553489685,3.125e-06
96,0.20230591297149658,0.25185003876686096,3.125e-06
97,0.19994907081127167,0.25185588002204895,1.5625e-06
98,0.19990935921669006,0.2518581449985504,1.5625e-06
99,0.20086929202079773,0.2518598735332489,1.5625e-06
