epoch,train_masked_bce,validation_masked_bce,learning_rate
0,0.7260406017303467,0.6509020924568176,0.0001
1,0.6528208255767822,0.5847170352935791,0.0001
2,0.5906848311424255,0.5277968049049377,0.0001
3,0.5323885679244995,0.4793180227279663,0.0001
4,0.4859605133533478,0.4382009506225586,0.0001
5,0.44723162055015564,0.4033663868904114,0.0001
6,0.4135262370109558,0.3738328814506531,0.0001
7,0.3842047154903412,0.34873196482658386,0.0001
8,0.3602854013442993,0.3273389935493469,0.0001
9,0.33901411294937134,0.3090434670448303,0.0001
10,0.3214090168476105,0.29336148500442505,0.0001
11,0.3069736063480377,0.279875785112381,0.0001
12,0.29211097955703735,0.2682725191116333,0.0001
13,0.28092876076698303,0.25829198956489563,0.0001
14,0.27056458592414856,0.24972203373908997,0.0001
15,0.2613312304019928,0.2423875629901886,0.0001
16,0.25418010354042053,0.23613202571868896,0.0001
17,0.24645735323429108,0.2308102250099182,0.0001
18,0.24270246922969818,0.22628358006477356,0.0001
19,0.2364710420370102,0.22241459786891937,0.0001
20,0.2320207953453064,0.21909363567829132,0.0001
21,0.22919520735740662,0.21622413396835327,0.0001
22,0.22548538446426392,0.21374699473381042,0.0001
23,0.22192607820034027,0.21161849796772003,0.0001
24,0.2195163369178772,0.20979371666908264,0.0001
25,0.21625959873199463,0.20822256803512573,0.0001
26,0.21421708166599274,0.20684193074703217,0.0001
27,0.2129090130329132,0.20557184517383575,0.0001
28,0.21156804263591766,0.20438650250434875,0.0001
29,0.20957082509994507,0.20325513184070587,0.0001
30,0.20919960737228394,0.20215342938899994,0.0001
31,0.2070409208536148,0.2010897845029831,0.0001
32,0.2070305198431015,0.2001170516014099,0.0001
33,0.20443563163280487,0.19926032423973083,0.0001
34,0.20364876091480255,0.19846473634243011,0.0001
35,0.20146459341049194,0.19775384664535522,0.0001
36,0.20254069566726685,0.1971260905265808,0.0001
37,0.20133759081363678,0.1965702623128891,0.0001
38,0.20012013614177704,0.19609515368938446,0.0001
39,0.20130392909049988,0.1956997513771057,0.0001
40,0.19967488944530487,0.19529807567596436,0.0001
41,0.19924291968345642,0.19491201639175415,0.0001
42,0.19886815547943115,0.19451932609081268,0.0001
43,0.19838018715381622,0.19414019584655762,0.0001
44,0.19905568659305573,0.19376049935817719,0.0001
45,0.19732291996479034,0.19339458644390106,0.0001
46,0.1962410807609558,0.19305752217769623,0.0001
47,0.19613812863826752,0.19276097416877747,0.0001
48,0.19570894539356232,0.19246754050254822,0.0001
49,0.1960582286119461,0.19213180243968964,0.0001
50,0.19556622207164764,0.1917499601840973,0.0001
51,0.1944970041513443,0.1913009136915207,0.0001
52,0.19539794325828552,0.19082343578338623,0.0001
53,0.19441069662570953,0.1903354674577713,0.0001
54,0.19390274584293365,0.18989431858062744,0.0001
55,0.1935211420059204,0.18948446214199066,0.0001
56,0.19254067540168762,0.18909478187561035,0.0001
57,0.1918323040008545,0.1887274980545044,0.0001
58,0.193402498960495,0.18832240998744965,0.0001
59,0.19189222157001495,0.1879168450832367,0.0001
60,0.19231486320495605,0.1874908208847046,0.0001
61,0.19019757211208344,0.18709732592105865,0.0001
62,0.19165539741516113,0.18665392696857452,0.0001
63,0.1903882771730423,0.18625685572624207,0.0001
64,0.1910928636789322,0.18589437007904053,0.0001
65,0.18837524950504303,0.1855512410402298,0.0001
66,0.19179928302764893,0.18521836400032043,0.0001
67,0.19100379943847656,0.18492527306079865,0.0001
68,0.1887444257736206,0.1846754252910614,0.0001
69,0.1894567757844925,0.1844957321882248,0.0001
70,0.1891542226076126,0.18439526855945587,0.0001
71,0.18789853155612946,0.18427713215351105,0.0001
72,0.18965092301368713,0.18411031365394592,0.0001
73,0.18896479904651642,0.183933824300766,0.0001
74,0.18773524463176727,0.18367010354995728,0.0001
75,0.1887478232383728,0.18339040875434875,0.0001
76,0.18800871074199677,0.1830706000328064,0.0001
77,0.18697980046272278,0.18279214203357697,0.0001
78,0.18606317043304443,0.18261271715164185,0.0001
79,0.1856658160686493,0.18243813514709473,0.0001
80,0.18535073101520538,0.18233104050159454,0.0001
81,0.18715879321098328,0.18215686082839966,0.0001
82,0.18534575402736664,0.18192321062088013,0.0001
83,0.18612723052501678,0.1816275715827942,0.0001
84,0.18499770760536194,0.1813766360282898,0.0001
85,0.18638846278190613,0.18125121295452118,0.0001
86,0.1855664998292923,0.18106238543987274,0.0001
87,0.185421884059906,0.18077364563941956,0.0001
88,0.18400916457176208,0.18054106831550598,0.0001
89,0.18382024765014648,0.18035581707954407,0.0001
90,0.18313536047935486,0.18021444976329803,0.0001
91,0.18466147780418396,0.18012163043022156,0.0001
92,0.18366502225399017,0.18004436790943146,0.0001
93,0.18305979669094086,0.17995376884937286,0.0001
94,0.18276242911815643,0.17979295551776886,0.0001
95,0.18217259645462036,0.17965225875377655,0.0001
96,0.1821865290403366,0.17954210937023163,0.0001
97,0.1817924976348877,0.17945650219917297,0.0001
98,0.18103910982608795,0.17935267090797424,0.0001
99,0.18076446652412415,0.1789916455745697,0.0001
